C0002418  Amblyopia
C0003079  Anisocoria
C0003813  Arrhythmia, Sinus
C0003962  Ascites
C0005826  Blood pressure, abnormal
C0006318  Bruit
C0007166  Cardiac output, decreased
C0007280  CAROTID BRUIT
C0007686  Central opacity of cornea
C0010038  Corneal Opacity
C0013491  Ecchymoses
C0016242  FLOATERS, VITREOUS
C0017565  Gingival Hemorrhage
C0018800  Cardiomegaly
C0018808  Cardiac murmur
C0018811  Fetal Heart Rate
C0018932  Hematochezia
C0018979  Hemianopia
C0019065  Hemoperitoneum
C0020649  Low blood pressure
C0020651  Hypotension, Postural
C0022281  Itching of eye
C0026205  Mioses
C0030252  Palpitations
C0036454  Visual field defect
C0038002  Splenomegaly
C0039231  Tachycardia
C0041657  Loss of consciousness
C0042790  Visual disorder
C0080203  Tachyarrhythmia
C0085128  Cardiac output, increased
C0085607  Blood volume, increased
C0085608  Blood volume, decreased
C0085649  Edema, peripheral
C0149612  ABNORMAL STRESS TEST
C0150086  Alteration in tissue perfusion (specify)
C0150583  heart sounds fetal heart tones
C0151190  Palpable purpura
C0151529  BLEEDING TIME INCREASED
C0151541  INCREASED CAPILLARY FRAGILITY
C0151601  CONJUNCTIVAL EDEMA
C0151609  SCROTAL EDEMA
C0151705  RETROPERITONEAL HEMORRHAGE
C0151766  ABNORMAL LIVER FUNCTION TESTS
C0151878  QT INTERVAL PROLONGED
C0151879  QT INTERVAL SHORTENED
C0152006  VITREOUS OPACITY
C0152191  Scotoma, central
C0152192  Enlarged blind spot
C0152260  Soemmering's ring
C0154166  Hemorrhage and infarction of thyroid
C0155099  Minor opacity of cornea
C0155100  Peripheral opacity of cornea
C0155256  Acute inflammation of orbit
C0155700  Mobitz (type) II atrioventricular block
C0162285  Edema of eyelid
C0184521  Cardiac output alteration
C0184522  Cardiovascular alteration
C0184570  Peripheral alteration
C0221184  Hemianopia, bitemporal
C0221185  VISION YELLOW
C0221477  COLLAPSE VASOMOTOR
C0232090  Abnormal cardiovascular function, NOS
C0232095  Increased blood erythrocyte volume
C0232097  Increased plasma volume
C0232098  Decreased plasma volume
C0232109  Normal arterial pulse pressure
C0232110  Abnormal arterial pulse pressure
C0232112  Arterial bruit
C0232114  Abnormal venous pulse pressure
