C0000848  ABSENT POSTERIOR TIBIAL PULSE
C0002962  Anginal pain
C0003078  Aniseikonia
C0004604  Backache
C0005747  Blepharospasm
C0005858  Bloodshot eyes
C0005874  Blush
C0008031  Chest Pain
C0008033  Chest pain, pleuritic
C0008035  CHEST WALL PAIN
C0009193  Coccygodynia
C0013609  Edema, localized
C0016199  FLANK PAIN
C0016382  Flushing
C0018926  Hematemeses
C0018933  Hematocolpometra
C0019079  Hemoptyses
C0019086  Hemorrhagic ascites
C0019209  Hepatomegaly
C0019214  Hepatosplenomegaly
C0022353  Jaundice, Neonatal
C0024031  Back Pain, Low
C0024902  Mastodynia
C0029089  Oculomotor Paralysis
C0039070  Faintness
C0040416  Adie's pupil
C0042818  Visual discomfort
C0085635  Photopsia
C0085636  Photophobia
C0149793  TRANSIENT MONOCULAR BLINDNESS
C0151205  Periorbital edema
C0151767  LIVER TENDERNESS
C0151826  CHEST PAIN SUBSTERNAL
C0155001  Subjective visual disturbances
C0155002  Sudden visual loss
C0155004  Visual distortions of shape and size
C0155227  Dacryops
C0155344  Spasm of conjugate gaze
C0155347  Anomalies of divergence
C0155382  Deficiencies of smooth pursuit movements
C0156308  Edema of penis
C0156317  Edema of male genital organs
C0156405  Ovulation bleeding
C0221154  Hypertension, paroxysmal
C0221226  CAPUT MEDUSAE
C0221755  ABDOMINAL BRUIT
C0232107  Decreased blood pressure, not hypotension
C0232119  Pulsus trigeminus
C0232126  Abrupt pulse
C0232127  Ectopic pulse
C0232130  Labile pulse
C0232168  Cardiac dyskinesia
C0232170  Atrial dyskinesia
C0232173  Cardiac wall motion, paradoxical
C0232193  Pacemaker rhythm
C0232194  Atrial rhythm from artificial pacing
C0232199  Embryocardia
C0232209  Aberrant nodal pacemaker
C0232210  Junctional escape beats
C0232246  Non-ejection systolic click, single
C0232247  Multiple non-ejection systolic clicks
C0232249  Cardiac murmur intensity, grade I
C0232250  Cardiac murmur intensity, grade II
C0232251  Cardiac murmur intensity, grade III
C0232252  Cardiac murmur intensity, grade IV
C0232253  Cardiac murmur intensity, grade V
C0232254  Cardiac murmur intensity, grade VI
C0232256  Heart murmur, organic
C0232258  Holosystolic murmur
C0232261  Late systolic murmur
C0232262  DIASTOLIC HEART MURMUR
C0232263  Early diastolic murmur
C0232274  Pericardial knock
C0232276  Diastolic rumble
C0232279  Heart murmur configuration, NOS
C0232280  Heart murmur configuration, crescendo
C0232281  Heart murmur configuration, decrescendo
C0232282  Heart murmur configuration, crescendo-decrescendo
C0232283  Heart murmur configuration, plateau
C0232285  CHEST PRESSURE SENSATION OF
C0232286  Precordial pain
C0232288  Chest pain, exertional
C0232289  Chest pain, radiating
C0232290  Chest pain, crushing
C0232291  Pleuropericardial chest pain
C0232292  CHEST TIGHTNESS OF
C0232369  Vasomotor hypotonia
C0232373  Paroxysmal vascular dilatation
C0232503  Umbilical bleeding
C0232533  Esophageal chest pain
C0232943  MENOMETRORRHAGIA
C0233193  Fetal souffle
C0233194  Souffle, uterine
C0233763  HALLUCINATION VISUAL
C0233769  Hallucination, lilliputian
C0234253  Pain at rest
C0234660  Eyes tire easily
C0234665  EYELID RETRACTION
C0234706  Chromatic aberration of vision
C0235068  Flittering scotoma
C0235239  HEART FLUTTERING
C0235240  HEART POUNDING
C0235242  SYNCOPE EXERTIONAL
C0235267  RED EYE
C0235477  Coupled pulse
C0235632  LOIN PAIN
C0235706  BACK DISCOMFORT
C0235707  LUMBO-SACRAL PAIN
C0235708  SACRO-ILIAC PAIN
C0235710  CHEST DISCOMFORT
C0235711  CHEST DISTRESSED FEELING OF
C0235712  CHEST FULLNESS OF
C0235716  CHEST BURNING PAIN OF
C0235777  CYANOSIS NEONATAL
C0235886  EDEMA LEGS
C0235980  SCLERAL DISCOLORATION
C0236065  EDEMA MOUTH
C0238995  sharp chest pain (symptom)
C0239340  Edema of lower extremity
C0240101  Kussmaul's sign
C0240515  Nipple pain
C0240521  Nipple tenderness
C0240840  Narrow pulse pressure
C0240841  Widened pulse pressure
C0241229  Spleen tender
C0262384  ATYPICAL CHEST PAIN
C0262397  BREAST TENDERNESS
C0269671  Gestational edema without mention of hypertension
C0270261  Edema neonatorum
C0270777  Edema of spinal cord
C0271050  Localized retinal edema
C0271052  Peripheral retinal edema
C0271185  Metamorphopsia
C0271186  Refractive diplopia
C0271188  Visual Halos
C0271276  Stahli's lines
C0271397  Pseudoophthalmoplegia
C0271404  Vitreous cavitation
C0277927  Musset's sign
C0277928  Bruit de diable
C0277930  Orbital bruit
C0277986  Gingival edema
C0282005  Swelling of Scrotum
C0312422  BLACK-OUT (NOT AMNESIA)
C0314719  DRY EYE
C0333240  Acute edema
C0333243  Pitting edema
C0333244  Transient edema
C0333245  Massive edema
C0333246  Edema, gaseous
C0333247  Blue edema
C0333248  Brawny edema
C0333249  Edema, subepidermal
C0333252  Hard edema
C0339142  Exophthalmos due to orbital edema or congestion
C0339205  Total scleral ectasia
C0339250  Melanin pigmentation of cornea
C0339251  Blood pigmentation of cornea
C0339257  Chalcosis of cornea
C0339259  Siderosis of cornea
C0339667  Voluntary nystagmus
C0339693  Internal ophthalmoplegia
C0340979  Cryoglobulinaemic purpura
C0341961  Vulval varices in pregnancy
C0344232  Blurred vision
C0344239  Mixed nystagmus
C0344240  Irregular nystagmus
C0344242  Uniocular nystagmus
C0344244  Gaze paretic nystagmus
C0344246  Postural nystagmus
C0349681  Spontaneous nystagmus
C0349683  Body positional nystagmus
C0349684  Neck positional nystagmus
C0362040  Enlarg submand lymph gland
C0392685  Chest pain, at rest
C0404555  Contact bleeding
C0405472  Cyclical mastalgia
C0405473  Non-cyclical mastalgia
C0405474  Trigger point mastalgia
C0406218  Persistent light reaction
C0406399  Urticaria geographica
C0406400  Menstrual urticaria
C0406403  Delayed dermographism
C0406404  Cold reflex urticaria
C0406405  Delayed cold sensitivity
C0406406  Persist cholinergic urticaria
C0406407  Cholinergic pruritus
C0406408  Reflex urticaria
C0406411  Immune complex urticaria
C0406548  Stellate pseudoscar
C0410918  Fetal tachycardia
