C0000731  ABDOMINAL DISTENTION
C0003962  Ascites
C0008301  Choking
C0009144  Furred tongue
C0010261  Cracked Tooth Syndrome
C0011330  Calculus, Dental
C0013378  Dysgeusia
C0015663  Fasting
C0015734  Impaction, fecal
C0016546  FB in alimentary tract NOS
C0016927  Gagging
C0017565  Gingival Hemorrhage
C0018932  Hematochezia
C0019065  Hemoperitoneum
C0019521  Singultus
C0026644  Edentulous mouth
C0034194  Pyloric Stenosis
C0038002  Splenomegaly
C0038187  Starvation
C0039437  Teething syndrome
C0040434  Discoloration, Tooth
C0040437  Teething
C0043387  Yawning
C0086310  Fad, Food
C0149695  Food goes down wrong way
C0149744  ORAL LESION
C0149823  Acute dilatation of stomach
C0151766  ABNORMAL LIVER FUNCTION TESTS
C0151934  GUSTATORY SENSE DIMINISHED
C0156388  Old vaginal laceration
C0159023  Feeding problems in newborn
C0161020  Foreign body in intestine and colon
C0162287  ABNORMAL STOOLS
C0178405  Ineffective infant feeding pattern (finding)
C0221470  Aphagia
C0221716  HYPERMOTILITY INTESTINAL
C0221780  RECTAL DISCHARGE
C0231355  Alteration in oral mucous membrane
C0231361  Alteration in bowel elimination: constipation
C0231363  Alteration in bowel elimination: diarrhea
C0232459  Abnormal digestion
C0232461  INCREASED APPETITE
C0232466  Feeding problem
C0232474  Increased peristalsis
C0232475  Decreased peristalsis
C0232477  Reversed peristalsis
C0232508  Abnormal tooth attrition
C0232541  Abnormal gastric secretion
C0232557  Increased gastric HCO3- secretion
C0232562  Increased sensitivity of parietal cells to secretagogues
C0232564  Impaired acid inhibition of gastrin release
C0232567  HYPERGASTRINEMIA
C0232568  Gastric acidity, normal
C0232569  Abnormal gastric acidity
C0232574  Abnormal gastric motility
C0232575  Increased gastric motility
C0232578  Impaired gastric mucosal defense
C0232588  Digestive hyperperistalsis
C0232589  Decreased digestive peristalsis
C0232591  Gastric hypertonus
C0232592  Decreased gastric tonus
C0232596  Increased gastric electrical activity
C0232599  Bilious vomiting
C0232605  Regurgitation
C0232617  Intestinal absorption, normal
C0232619  Normal small bowel motility
C0232620  Abnormal small bowel motility
C0232652  Impaired intestinal lymphatic transport of nutrients
C0232654  Impaired intestinal fat absorption
C0232656  Impaired intestinal protein absorption
C0232673  Deranged intestinal motility, NOS
C0232687  Abnormal propulsive movements of large bowel motility
C0232693  BORBORYGMUS
C0232694  Bowel sounds, increased
C0232696  Absence of bowel sounds
C0232708  Passage of watery stools
C0232709  Diarrhea, postprandial
C0232720  Acholic stool
C0232723  Abnormal anal function
C0232733  Abnormal salivary secretion
C0232743  Increased liver function
C0232744  Decreased liver function
C0232751  Impaired bile formation
C0232756  Abnormal bile secretion
C0232770  Absent gallbladder function
C0232773  Gallbladder, contraction, increased
C0232788  Normal pancreatic secretion
C0232789  Abnormal pancreatic secretion
C0232790  Increased pancreatic secretion
C0232791  Decreased pancreatic secretion
C0233180  Chaussier's sign
C0233388  Abnormal breast feeding
C0234784  Absent gag reflex
C0234953  SPASM TONGUE
C0235119  HUNGER ABNORMAL
C0235291  TASTE GARLIC
C0235308  INDIGESTION NERVOUS
C0235315  FAECES DISCOLOURED
C0235324  GINGIVAL SWELLING
C0235356  TEETH YELLOW
C0235380  BILIRUBINEMIA NEWBORN
C0235429  ACETONE BREATH
C0235996  HEPATIC ENZYMES INCREASED
C0236071  THROAT TIGHTNESS
C0237327  Stool color abnormal
C0237350  Improper feeding schedule for age (finding)
C0238427  small bowel bacterial overgrowth (diagnosis)
C0238562  abdominal wall scar
C0238569  rebound tenderness of abdomen
C0238634  Anal inflammation
C0238739  muscle spasms in lower back (symptom)
C0238968  bullae on cheek
C0238972  CHEEK MASS
C0239043  Difficulty chewing
C0239064  Jaw claudication
C0239082  Common Bile Duct Obstruction
C0239571  Fetor hepaticus
C0239707  Digestive Angioma
C0239735  Gingival erythema
C0239741  vesicle of gingiva (physical finding)
C0239953  high pitched bowel sounds (physical finding)
C0239978  Increased defecation
C0240191  bullae on lip (physical finding)
C0240193  crusts on lip
C0240198  Erythema of lip
C0240207  purpura on lip (physical finding)
C0240209  scales on lip (physical finding)
C0240218  LIP VESICLE
C0240369  Erythema of mucous membrane of mouth (finding)
C0240371  Mouth Mucous Membrane Leukoplakia
C0240406  Murphy's sign positive (context-dependent category)
C0240459  Swollen nasopharynx
C0240871  purulent rectal discharge was observed
C0240873  RECTAL MASS
C0240925  Swollen salivary gland
C0240928  craving salt (symptom)
C0241228  Spleen palpable
C0241254  Mucus in stool
C0241431  erythema of tongue
C0241436  TONGUE MASS
C0241438  Tongue nodule
C0241451  Exudate on tonsils
C0241465  Peg tooth
C0241706  fecal vomiting
C0242385  Bite, Cross
C0260683  Gastrostomy status
C0266868  Habitual abrasion of teeth
C0266911  GUM BLUE LINE
C0266935  Malocclusion due to mouth breathing
C0266937  Malocclusion due to lip habits
C0267167  Nonulcer dyspepsia
C0267456  Villous atrophy of intestine
C0267636  Diverticulum of appendix
C0267779  Adhesion of male pelvis
C0267780  Adhesion of mesentery
C0267781  Adhesion of omentum
C0270208  Fetal or neonatal jaundice from bruising
C0270209  Fetal or neonatal jaundice from drugs or toxins transmitted from mother
C0270212  Fetal or neonatal jaundice from polycythemia
C0272389  Cicatrix of tonsil
C0272390  Cicatrix of adenoid
C0274247  Foreign body in hypopharynx
C0274248  Foreign body in nasopharynx
C0277926  Pulsatile liver
C0277942  Malar (butterfly) rash
C0277979  Shifting dullness
C0277982  Alcohol breath
C0277983  Uremic breath
C0277999  Excessive belching
C0278002  Vomit: coffee ground
C0278016  Hard stools
C0278156  Franklinic taste
C0279036  anticipatory nausea and vomiting
C0281800  Chronic Mouth Breathing
C0301621  Abnormal exocrine gland secretion
C0301622  Glandular function, exocrine, increased
C0301623  Decreased exocrine gland secretion
C0311425  Absent exocrine gland secretion
C0311427  Abnormal excretory function
C0311428  Increased excretory function
C0311429  Decreased excretory function
C0311430  Absent excretory function
C0341512  Retroperitoneal haematoma
C0341518  Ileocaecal adhesions
C0341523  Adhesion of stomach
C0341562  Gastrointest anastomotic leak
C0341564  Gastric anastomotic leak
C0342484  Adrenocortical haemorrhage
C0342501  Adrenal cyst
C0344369  Submucosal haemorr,vocal cord
C0347631  Subcapsular liver haematoma
C0347638  Adrenal gland haematoma
C0347842  O/E - cold sore
C0347946  Nonvisualization of gallbladder
C0376480  Gingival enlargement, NOS
C0392503  Impaction of intestine
C0396028  Tonsillar caseous debris
C0399412  Extrinsic staining of tooth
C0399413  Betel deposit on teeth
C0399414  Tobacco deposit on teeth
C0399415  Extrinsic stain tooth - black
C0399416  Extrinsic stain tooth - brown
C0399417  Extrinsic staining of tooth - chromogenic plaque flora
C0399420  Intrin stain non-vital tooth
C0399421  Intrin stain tooth metab dis
C0399422  Intrin stain tooth-drug inducd
C0399444  Thickened dental follicle
C0399483  Hyperpigment of oral mucosa
C0399484  Racial pigment of oral mucosa
C0399485  Oral pigmentary incontinence
C0399486  Oral melanocytic macule
C0399487  Mel pig oral muc ass-systm con
C0399488  Bilirubin pigment oral mucosa
C0399489  Iron pigmentation of oral mucosa
C0399490  Exogenous pigment oral mucosa
C0399491  Systemic exog pigment oral muc
C0399492  Loc exogenous pigment oral muc
C0399556  Malocclusion due to finger habits
C0400814  Healed gastric ulcer
C0400815  Gastric ulcer scar
C0401001  Obstruction of biliary stent
C0404701  Cystocele + obstetric care
C0404702  Rectocele + obstetric care
C0404705  Cystocele - baby delivered
C0410923  Rumination in newborn
C0410926  Difficult feeding at breast
C0410927  Bottle feeding prob.in newborn
C0410928  Breast-feeding problem in the newborn
C0410983  Perinatal jaundice - bruising
C0419436  Difficult to establish feeding
C0419445  Bottle fed at 10 days
C0419446  Breast fed at 10 days
C0419447  Breast & supplem fed at 10 day
C0419449  Bottle fed at 6 weeks
C0419450  Breast fed at 6 weeks
C0419451  Breast & supplem fed at 6 week
C0419452  On solids at 6 weeks
C0419454  Bottle fed at 3 months
C0419455  Breast fed at 3 months
C0419456  Breast & supplem fed at 3 mnth
C0419457  On solids at 3 months
C0419459  Bottle fed at 6 months
C0419460  Breast fed at 6 months
C0419461  Breast & suppl fed at 6 month
C0419462  On solids at 6 months
C0419465  Bottle fed at 9 months
C0419466  Breast fed at 9 months
C0419467  Breast & suppl fed at 9 months
C0419468  On solids at 9 months
C0419471  Bottle fed at 1 year
C0419472  Breast fed at 1 year
C0419473  Breast & supplem fed at 1 year
C0419474  On solids at 1 year
C0420926  Feeding intention
C0420927  Feeding intention - not known
C0420928  Feeding intention - unsure
C0420929  Feeding intention - breast
C0420930  Feeding intention - bottle
C0420981  Breast changed to bottle feed
C0420984  Bottle feeding started
C0420985  Bottle feeding stopped
C0420986  Infant weaned
C0423413  Retinal microvasc anastomoses
C0423564  Abnormal taste in mouth
C0423565  Taste of food lingers
C0423598  Sensation as bowel not empty
C0424416  Self-induce purg to lose wt
C0424421  Eating problem
C0424422  Does not know what food he or she wants
C0424423  Comfort eating
C0424424  Refuses to eat
C0424425  Refusing solids
C0424426  Refusing lumpy foods
C0424427  Refusal eat presence of others
C0424428  Preoccupation with food
C0424429  Greediness
C0424430  Craving for food or drink
C0424431  Craving for particular food
C0424432  Craving for particular drink
C0424433  Aversion to food or drink
C0424434  Aversion to particular food
C0424435  Aversion to particular drink
C0424437  Preference for temperature of food
