C0000727  Abdomen, Acute
C0000729  ABDOMINAL CRAMP
C0000737  Abdominal Pain
C0003107  Anogenital pruritus
C0009806  Constipation
C0011991  Diarrhea
C0013132  Drooling
C0013395  Indigestion
C0013428  Dysuria
C0014724  Burping
C0016199  FLANK PAIN
C0016204  Flatulence
C0016205  Flatulence, eructation, and gas pain
C0017672  Painful tongue
C0018520  Bad breath
C0018834  Heartburn
C0018926  Hematemeses
C0019086  Hemorrhagic ascites
C0019209  Hepatomegaly
C0019214  Hepatosplenomegaly
C0019825  Hoarseness
C0020175  Hunger
C0020450  Hyperemesis Gravidarum
C0022353  Jaundice, Neonatal
C0024031  Back Pain, Low
C0027497  Nausea
C0027498  Nausea and vomiting
C0030214  Palatal myoclonus
C0030794  Pelvic Pain
C0033775  Pruritus Ani
C0033776  Pruritus gravidarum
C0034886  RECTUM PAIN
C0036660  Sensation of hunger, abnormal
C0037089  Signs and Symptoms, Digestive
C0040460  Toothache
C0042963  Emesis
C0042964  Anticipatory Vomiting
C0043066  Waterbrash
C0043352  Salivary secretion, decreased
C0085602  Polydipsia
C0149696  FOOD INTOLERANCE
C0149758  POOR DENTITION
C0150019  Simple constipation
C0151767  LIVER TENDERNESS
C0151791  NAUSEA VOMITING AND DIARRHEA
C0152149  Mittelschmerz
C0152165  Vomiting, persistent
C0152169  Renal colic
C0159065  Other symptoms involving abdomen and pelvis
C0221150  ODYNOPHAGIA
C0221151  Vomiting, projectile
C0221200  Koplik spot
C0221490  DISTRESS EPIGASTRIC
C0221512  ACHE STOMACH
C0221727  ESOPHAGEAL PAIN
C0221730  NUMBNESS PERIORAL
C0221755  ABDOMINAL BRUIT
C0221776  MOUTH PAIN
C0232462  Food appetite, decreased
C0232476  Absent peristalsis
C0232487  ABDOMINAL DISCOMFORT
C0232488  Colic
C0232491  CHRONIC ABDOMINAL PAIN
C0232492  ABDOMINAL PAIN UPPER
C0232493  EPIGASTRIC ABDOMINAL PAIN
C0232494  Burning epigastric pain
C0232495  ABDOMINAL PAIN LOWER
C0232496  Midabdominal crampy pain
C0232497  Abdominal involuntary guarding
C0232498  Abdominal tenderness
C0232502  Umbilical discharge
C0232503  Umbilical bleeding
C0232504  Umbilical pain
C0232513  Premature tooth loss
C0232514  Tooth chattering
C0232517  Gurgling
C0232520  Absent deglutition
C0232533  Esophageal chest pain
C0232534  Globus sensation
C0232535  Bolus awareness
C0232536  Bolus impaction
C0232537  Esophageal colic
C0232593  Cardiac sphincter, hypertensive spasm
C0232597  Acute vomiting
C0232598  Chronic vomiting
C0232601  Concealed vomiting
C0232602  Dry heaves
C0232603  Violent retching
C0232607  Chronic regurgitation
C0232608  Nasal regurgitation
C0232609  Bile pigment retention
C0232610  Bile pigment regurgitation
C0232695  Bowel sounds, decreased
C0232716  Defecation straining
C0232719  Hyperactive rectosigmoid junction
C0232721  Bulky stool
C0232726  TENESMUS
C0232771  Cholesterol crystal nucleation in bile
C0232857  Psychogenic dysuria
C0232858  Dysuria, spastic
C0232951  Enteromenia
C0232952  Gastromenia
C0232957  Proctomenia
C0232958  Stomatomenia
C0233194  Souffle, uterine
C0234246  Abdominal rebound pain
C0235234  THROAT DRY
C0235250  HYPEREMESIS
C0235290  TASTE BITTER
C0235293  TASTE PECULIAR
C0235295  ABDOMINAL DISTRESS
C0235296  EPIGASTRIC PAIN NOT FOOD-RELATED
C0235299  RUQ ABDOMINAL PAIN
C0235307  EPIGASTRIC FOOD-RELATED PAIN
C0235309  STOMACH UPSET
C0235318  FULLNESS ABDOMINAL
C0235612  URETHRAL BURNING ON MICTURITION
C0235632  LOIN PAIN
C0235634  COSTOVERTEBRAL ANGLE TENDERNESS
C0235698  Abdom.distension, gaseous
C0236065  EDEMA MOUTH
C0238551  LLQ ABDOMINAL PAIN
C0238552  LUQ ABDOMINAL PAIN
C0238637  Anal pain
C0238973  cheek pain (symptom)
C0238977  CHEEK SWELLING
C0239182  watery diarrhea
C0239233  feeling full before finishing meals (symptom)
C0239548  Fasciculation of tongue
C0239549  Fat intolerance
C0239739  GINGIVAL PAIN
C0239783  PAIN GROIN
C0240194  Blue lips
C0240211  Swelling lips
C0240311  maxillary pain (symptom)
C0240327  TASTE METALLIC
C0240352  Morning nausea
C0240877  rectal tenderness
C0241310  Suprapubic pain
C0241379  INCREASED THIRST
C0241426  Burning tongue
C0241439  Paraesthesia of tongue
C0241457  teeth sensitive to cold (symptom)
C0241462  teeth sensitive to heat (symptom)
C0241562  Urethral meatal pain
C0241700  Decreased vocal loudness
C0241705  URINATION DIFFICULTY
C0242002  diarrhea mucous
C0242429  Sore Throat
C0262527  INTERMITTENT ABDOMINAL PAIN
C0266836  Colic infantile
C0266952  Loosening of tooth
C0266996  Sialectasia
C0267028  Cheilodynia
C0267169  Gastric tympany
C0267373  Intestinal haemorrhage NOS
C0267633  Appendiceal colic
C0270272  Regurgitation of food in newborn
C0270273  Slow feeding in newborn
C0270274  VOMITING NEONATAL
C0277849  Psoas sign
C0277938  Circumoral rhytides
C0277965  Abnormal food appetite
C0277966  Aphagia algera
C0277967  Adipsia
C0277969  Abdominal pain through to back
C0277970  Abdominal pain worse on motion
C0277974  McBurney's point
C0277977  Murphy's sign
C0277980  Onion breath
C0277981  Garlic breath
C0277984  Halitus saturninus
C0277986  Gingival edema
C0278007  Normal bowel habits
C0278008  CHANGE IN BOWEL HABITS
C0278009  Passage of rice water stools
C0278010  Pseudodiarrhea
C0278012  Red stools, NOS
C0278013  Change in stool caliber, NOS
C0278014  Decreased stool caliber
C0278015  Change in stool consistency, NOS
C0278020  Digestive gland sign or symptom, NOS
C0278021  Courvoisier's law
C0278155  Taste-blindness
C0302540  Generalized abdominal tenderness (finding)
C0311212  Migrating cheilosis
C0312416  Morning sickness
C0344304  General abdominal pain-symptom
C0344370  Posseting
C0344374  Faecal overflow
C0344375  Stomach cramps
C0345246  Abnormal large bowel motility
C0392176  GASTRIC IRRITATION
C0392513  Inanition
C0392678  SWALLOWING IMPAIRED
C0399410  Teeth staining due to metals
C0399411  Teeth staining due to drugs
C0399459  Discomfort in mouth
C0399590  Drug-induced xerostomia
C0399591  Sublingual sialectasia
C0399592  Submandibular sialectasia
C0399593  Parotid sialectasia
C0400882  Chr nonspecific abdom pain
C0401148  Acute constipation
C0401149  Chronic constipation
C0401150  Chronic constipation without overflow
C0401155  Double incont - urine + stool
C0401157  Intermittent vomiting
C0401158  Vomiting after GIT surgery
C0405584  Sucrose intolerance
C0406672  Proctodynia
C0410924  Underfeeding in newborn
C0410925  Overfeeding in newborn
C0423599  Sensation as if rectum still full
C0423600  Feeling of lump in throat
C0423628  Painful teething
C0423640  Right flank pain
C0423641  Left flank pain
C0423642  Right subcostal pain
C0423643  Left subcostal pain
C0423644  Central abdominal pain
C0423645  Subcostal pain
C0423646  Site of abdominal pain
C0423649  Abdominal migraine - symptom
C0423650  Non-colicky abdominal pain
C0423655  Pain on abdom wall movement
C0423681  Pain in lumbar spine
C0423683  Lumbar ache - renal
C0423689  Post compartment low back pain
C0423735  Tenesmus, urinary
C0423736  Burning on urination
C0423739  Tenesmus - anal
C0424489  Chapped lips
C0424805  Breath symptom
C0426390  Spasm of bladder
C0426481  Tooth symptom NOS
C0426484  Throat symptom NOS
C0426487  Mouth symptom NOS
C0426498  Dry tongue
C0426576  Gastrointestinal symptom NOS
C0426577  Appetite symptom
C0426579  Anorexia symptom
