C0020461  Hyperkalemia
C0020621  Hypokalemia
C0020625  Sodium, decreased level
C0020645  Hyposmolality and/or hyponatremia
C0020649  Low blood pressure
C0020651  Hypotension, Postural
C0038835  Superovulation
C0085608  Blood volume, decreased
C0117002  Euthyroid
C0150032  Potential fluid volume deficit
C0151671  GLUCOSE TOLERANCE DECREASED
C0151723  Hypomagnesemia syndrome
C0154166  Hemorrhage and infarction of thyroid
C0154211  Postablative ovarian failure
C0158987  Late metabolic acidosis of newborn
C0159069  Abnormal glucose tolerance test
C0184536  Fluid volume excess risk
C0232098  Decreased plasma volume
C0232116  Decreased venous pulse pressure
C0232788  Normal pancreatic secretion
C0232789  Abnormal pancreatic secretion
C0232790  Increased pancreatic secretion
C0232791  Decreased pancreatic secretion
C0234987  DIZZINESS POSTURAL
C0235401  GLUCOSE TOLERANCE ABNORMAL
C0235402  GLUCOSE TOLERANCE CURVE ABNORMAL
C0235425  SALT DEPLETION
C0237011  No measurable ovarian simple cysts
C0239082  Common Bile Duct Obstruction
C0239277  Mass of epididymis
C0240611  OVARIAN MASS
C0241351  Cyst of testes
C0241353  TESTICULAR MASS
C0241355  Small testicle
C0241400  increased thyroid binding globulin (diagnosis)
C0241401  thyroid bruit (physical finding)
C0268017  Hypokalemia, inadequate intake
C0271660  Previous AGT
C0277897  Decreased central venous pulse pressure
C0278090  Precocious pseudopuberty
C0278091  Isosexual precocious pseudopuberty
C0301631  Hypoosmolarity
C0340870  Absolute hypovolaemia
C0340871  Relative hypovolaemia
C0340872  Isonatraemic dehydration
C0342184  Thyroid-binding globulin high
C0342348  Haemorrhage of parathyroid
C0342420  Pituitary cyst
C0342484  Adrenocortical haemorrhage
C0342501  Adrenal cyst
C0342526  Absent testes
C0342531  Androgen receptor absent
C0342533  Undervirilisation
C0342540  Arrested puberty
C0342576  Growth hormone receptor absent
C0342577  GH receptor abnormality
C0342581  Hyponat + decreased serum osmo
C0342582  Hyponat+normal/incr serum osmo
C0342586  Hyperkal + norm acid-base bal
C0342592  Increased anion gap
C0342593  Reduced anion gap
C0342658  Hypomagnesaemic tetany
C0347606  Thyroid gland haematoma
C0347611  Parathyroid gland haematoma
C0347638  Adrenal gland haematoma
C0347836  O/E - delayed puberty
C0392039  Hypertrophy of ovary
C0403769  Penis bent
C0403824  Teratozoospermia
C0403825  Globozoospermia
C0404550  Scanty or infrequent menstruation
C0404733  Abnormal GTT in puerperium - baby previously delivered
C0404734  Abnormal GTT during pregnancy - baby not yet delivered
C0404735  Abnormal GTT during pregnancy - baby delivered
C0404736  Abnormal GTT in puerperium - baby delivered
C0410549  Osteoporotic vertebra collapse
C0410961  Neonatal tetany no ca/mag def
C0423413  Retinal microvasc anastomoses
C0423852  Delayed growth 2ry sex hair
C0425676  Thyroid flow murmur
C0425772  Precocious breast development
C0425875  Ovary felt at vaginal fornix
C0425927  Diameter of ovary
C0426322  Testicular observation
C0426324  Testicles in scrotum
C0426325  Absence of testicle in scrotum
C0426326  Testicle out of place
