C0000804  Abortion, Criminal
C0001925  Albuminuria
C0004968  Bence Jones proteinuria
C0013418  Labor, abnormal
C0015734  Impaction, fecal
C0018932  Hematochezia
C0018965  urine blood
C0020458  Hyperhidrosis
C0021697  Intact hymen
C0021899  Intrauterine Device Expulsion
C0022868  Labor, onset
C0022875  Induced labor
C0027080  Myoglobinurias
C0027794  Defect, Neural Tube
C0031538  Phimoses
C0033687  Protein, urine, abnormal presence
C0038835  Superovulation
C0038990  Sweating
C0041747  UNINTENDED PREGNANCY
C0042023  Urinary frequency
C0042267  Vaginitides
C0080274  Bladder retention of urine
C0085606  Urgency, urinary
C0085988  Fetopelvic disproportion
C0149707  HEMATOSPERMIA
C0149774  SCROTAL MASS
C0150043  Reflex incontinence
C0150044  Total incontinence
C0151609  SCROTAL EDEMA
C0151612  Defective ejaculation
C0151994  UTERINE ENLARGEMENT
C0151995  UTERINE FIBROIDS DEGENERATED
C0152150  Twin pregnancy
C0152453  Fissure of nipple
C0154211  Postablative ovarian failure
C0156247  Small kidney of unknown cause
C0156371  UTERINE HYPERTROPHY
C0156373  Malposition of uterus
C0156388  Old vaginal laceration
C0156543  Abortion
C0156893  Twin pregnancy, delivered
C0156896  Triplet pregnancy, delivered
C0156899  Quadruplet pregnancy, delivered
C0156927  Unstable lie, delivered
C0156936  Transverse or oblique presentation of fetus
C0156940  Face or brow presentation of fetus
C0156946  High head at term, delivered
C0156971  Generally contracted pelvis, delivered
C0156988  Hydrocephalic fetus causing disproportion
C0157123  Excessive fetal growth affecting management of mother
C0157187  Elderly primigravida
C0157189  Elderly primigravida, delivered
C0157655  Failure of lactation - delivered
C0158842  Delivery by vacuum extractor affecting fetus or newborn
C0158849  Slow fetal growth and fetal malnutrition
C0158915  LARGE FOR GESTATIONAL AGE
C0184571  Renal alteration
C0195720  Failed forceps delivery
C0220761  Dichorionic twins
C0220763  Vagina absent
C0221780  RECTAL DISCHARGE
C0221783  VAGINAL MASS
C0221784  VULVAR LESION
C0227791  Vaginal discharge
C0231361  Alteration in bowel elimination: constipation
C0231365  Alteration in patterns of urinary elimination
C0232805  Normal renal function
C0232806  Increased renal function
C0232807  Decreased renal function
C0232814  Increased renal clearance
C0232815  Decreased renal clearance
C0232831  HYPOSTHENURIA
C0232846  Abnormal bladder continence
C0232853  Abnormal urinary stream
C0232937  Menstruation, missed
C0232989  Normal pregnancy
