C0005687  BLADDER DISTENTION
C0008983  Clitoral erection, painful
C0009193  Coccygodynia
C0009806  Constipation
C0013421  Dystonia
C0013428  Dysuria
C0014394  Enuresis
C0016199  FLANK PAIN
C0016708  Frequency of urination and polyuria
C0018933  Hematocolpometra
C0019559  HIP PAIN
C0020450  Hyperemesis Gravidarum
C0023533  Leukorrhea
C0028081  Night sweats
C0028961  Urine volume, decreased
C0028962  Oliguria and anuria
C0030794  Pelvic Pain
C0032617  Urine volume, increased
C0033776  Pruritus gravidarum
C0033777  Pruritus of genital organs
C0033778  Pruritus Vulvae
C0034886  RECTUM PAIN
C0039591  TESTICULAR PAIN
C0042256  VAGINAL ITCHING
C0085598  Labor, false
C0085688  Engorgement of breast
C0149671  DRIBBLING
C0149741  NIPPLE DISCHARGE
C0149751  PENILE LESION
C0150019  Simple constipation
C0150045  Urge incontinence
C0151830  URETHRAL PAIN
C0152032  URINARY HESITANCY
C0152149  Mittelschmerz
C0152169  Renal colic
C0152447  Urethral discharge
C0156308  Edema of penis
C0156317  Edema of male genital organs
C0156405  Ovulation bleeding
C0159075  Chyluria
C0175848  Sacrocoxalgia
C0221169  HEMIBALLISMUS
C0221226  CAPUT MEDUSAE
C0232431  Cold sweat
C0232719  Hyperactive rectosigmoid junction
C0232726  TENESMUS
C0232847  Enuresis, primary
C0232848  Enuresis, secondary
C0232849  BLADDER PAIN
C0232852  Normal urinary stream
C0232854  Slowing of urinary stream
C0232855  Splitting of urinary stream
C0232857  Psychogenic dysuria
C0232858  Dysuria, spastic
C0232861  PENILE DISCHARGE
C0232894  Pneumatouria
C0232943  MENOMETRORRHAGIA
C0232947  Menstruation, supplementary
C0232950  Atopomenorrhea
C0232951  Enteromenia
C0232952  Gastromenia
C0232953  Helcomenia
C0232954  Myelomenia
C0232955  Menouria
C0232956  Mastomenia
C0232957  Proctomenia
C0232958  Stomatomenia
C0232968  Menopausal problem, NOS
C0232971  Delayed menopause
C0232982  Complete spermatogenic arrest
C0232983  Incomplete spermatogenic arrest
C0233134  Inversion of uterine contraction
C0233135  Fundal dominance of uterine contraction
C0233138  Uterine incoordination, first degree
C0233187  Braxton Hicks contractions
C0233189  Goodell's sign
C0233191  Hegar's sign
C0233194  Souffle, uterine
C0233204  Calkin's sign
C0233220  Fetal activity change
C0233227  Fetal lateroflexion
C0233228  Fetal universal flexion
C0233229  Fetal floating head flexion
C0233389  Subinvolution of breast
C0233390  Postlactation subinvolution of breast
C0233973  Painful penile erection
C0235014  FONTANEL BULGING
C0235612  URETHRAL BURNING ON MICTURITION
C0235633  URETERAL PAIN
C0235634  COSTOVERTEBRAL ANGLE TENDERNESS
C0235641  PERINEAL PAIN FEMALE
C0235642  GENITALIA EXTERNAL PAINFUL
C0235678  VAGINAL ODOR
C0235808  PERINEAL PAIN MALE
C0236075  Menopausal symptom, NOS
C0236078  SCROTAL PAIN
C0236080  Discomfort of vagina
C0236082  Vaginal pain
C0236083  Burning feeling vagina
C0238637  Anal pain
C0239278  Epididymal pain
C0239783  PAIN GROIN
C0240515  Nipple pain
C0240521  Nipple tenderness
C0240715  Perineal lump
C0240717  [D] Perineal pain
C0240812  PAIN PROSTATIC
C0240813  Prostate tender
C0240877  rectal tenderness
C0241562  Urethral meatal pain
C0241656  Vas deferens tender
C0241705  URINATION DIFFICULTY
C0241709  Burning sensation of vulva
C0241718  Pain of vulva
C0242453  Prostatism
C0263571  Chloasma gravidarum
C0268988  Itching of penis
C0269671  Gestational edema without mention of hypertension
C0269678  Fatigue during pregnancy
C0270327  Enuresis, nocturnal
C0270777  Edema of spinal cord
C0278028  SIGNS AND SYMPTOMS OF THE URINARY SYSTEM
C0278053  Abnormal vaginal odor
C0278107  Painful ejaculation
C0282005  Swelling of Scrotum
C0312414  Spotting
C0341742  ARU - Acute retention of urine
C0341961  Vulval varices in pregnancy
