C0003962  Ascites
C0014745  Erythema palmare
C0015734  Impaction, fecal
C0016546  FB in alimentary tract NOS
C0016927  Gagging
C0018932  Hematochezia
C0019065  Hemoperitoneum
C0019699  AIDS Seroconversion
C0027947  Neutropenia
C0034194  Pyloric Stenosis
C0038002  Splenomegaly
C0038187  Starvation
C0040034  Thrombocytopenia
C0149823  Acute dilatation of stomach
C0151190  Palpable purpura
C0151683  Neutrophilia, NOS
C0151732  INFECTION MASKED
C0151766  ABNORMAL LIVER FUNCTION TESTS
C0156388  Old vaginal laceration
C0161020  Foreign body in intestine and colon
C0221147  PLATELET PRODUCTION DECREASED
C0221148  DESTRUCTION PLATELET INCREASED
C0231361  Alteration in bowel elimination: constipation
C0232459  Abnormal digestion
C0232567  HYPERGASTRINEMIA
C0232599  Bilious vomiting
C0232744  Decreased liver function
C0232770  Absent gallbladder function
C0235308  INDIGESTION NERVOUS
C0235380  BILIRUBINEMIA NEWBORN
C0235996  HEPATIC ENZYMES INCREASED
C0238427  small bowel bacterial overgrowth (diagnosis)
C0238562  abdominal wall scar
C0238580  blood type ABO incompatibility
C0238634  Anal inflammation
C0238652  ANKLE ERYTHEMA
C0238658  purpura on ankle (physical finding)
C0238829  purpura on breast
C0238986  erythema on chest (physical finding)
C0239082  Common Bile Duct Obstruction
C0239343  Acral erythema
C0239585  erythema of finger (physical finding)
C0239592  purpura on the fingers
C0239644  Erythema of foot
C0239655  purpura of foot
C0239680  purpura on the face forehead
C0239707  Digestive Angioma
C0239735  Gingival erythema
C0239821  Erythema of hand
C0239837  purpura on hand (physical finding)
C0240207  purpura on lip (physical finding)
C0240369  Erythema of mucous membrane of mouth (finding)
C0240391  Mucous membrane erythema (finding)
C0240773  erythema of plantar aspect of foot
C0241228  Spleen palpable
C0241365  Erythema of thigh
C0241451  Exudate on tonsils
C0241501  purpura of trunk
C0241706  fecal vomiting
C0241752  Erythema of wrist
C0242385  Bite, Cross
C0267167  Nonulcer dyspepsia
C0267456  Villous atrophy of intestine
C0267636  Diverticulum of appendix
C0267779  Adhesion of male pelvis
C0267780  Adhesion of mesentery
C0267781  Adhesion of omentum
C0269966  Disruption of episiotomy wound in the puerperium
