C0000727  Abdomen, Acute
C0001416  Adenitides
C0005409  Bilharzial pigment deposition
C0007940  Chancre, sporotrichotic
C0007942  Chancre, trypanosomal
C0007943  Chancre, tuberculous
C0009806  Constipation
C0013395  Indigestion
C0015970  Fever of Unknown Origin
C0018834  Heartburn
C0018926  Hematemeses
C0019086  Hemorrhagic ascites
C0019209  Hepatomegaly
C0019214  Hepatosplenomegaly
C0020450  Hyperemesis Gravidarum
C0022353  Jaundice, Neonatal
C0027497  Nausea
C0027498  Nausea and vomiting
C0034886  RECTUM PAIN
C0041834  Erythema
C0042963  Emesis
C0042964  Anticipatory Vomiting
C0043066  Waterbrash
C0150019  Simple constipation
C0151791  NAUSEA VOMITING AND DIARRHEA
C0152165  Vomiting, persistent
C0221151  Vomiting, projectile
C0221490  DISTRESS EPIGASTRIC
C0232597  Acute vomiting
C0232598  Chronic vomiting
C0232601  Concealed vomiting
C0232602  Dry heaves
C0232603  Violent retching
C0235250  HYPEREMESIS
C0235295  ABDOMINAL DISTRESS
C0235309  STOMACH UPSET
C0240273  Tender gland
C0240352  Morning nausea
C0240608  Osler's node
C0241229  Spleen tender
C0263355  RASH SCARLATINIFORM
C0264272  Purulent nasal discharge
C0266836  Colic infantile
C0267373  Intestinal haemorrhage NOS
C0267633  Appendiceal colic
C0270274  VOMITING NEONATAL
C0312416  Morning sickness
C0340979  Cryoglobulinaemic purpura
C0343731  Penile warts
C0362040  Enlarg submand lymph gland
C0392513  Inanition
C0401148  Acute constipation
C0401149  Chronic constipation
C0401150  Chronic constipation without overflow
C0401157  Intermittent vomiting
C0401158  Vomiting after GIT surgery
C0405584  Sucrose intolerance
C0406146  Meningococcal rash
C0406218  Persistent light reaction
C0406402  Erythema fugax
C0406672  Proctodynia
C0406833  Wound erythema
C0424818  Gland symptom
C0426632  Flatulent dyspepsia
C0457950  Acute back pain - lumbar
C0473129  Diarrhea following gastrointestinal surgery
C0473131  Diarrhea due to ingestion of unabsorbable substances
C0474495  Constipation alternates with diarrhea
C0474496  D&V - Diarrhea and vomiting
C0474512  Blood in faeces symptom
C0520904  Postoperative nausea
C0520905  Postoperative vomiting
C0520906  Increased nausea and vomiting
C0520907  Decreased nausea and vomiting
C0520909  Postoperative nausea and vomiting
C0541938  EPIGASTRIC BURNING
C0548823  DISTRESS GASTROINTESTINAL
C0567522  Nipple discharge - pus
C0577588  Swelling lymphoreticul struct
C0578050  Pain of lymph node
C0578737  Brachial lymphadenopathy
C0578738  Epitrochlear lymphadenopathy
C0578739  Popliteal lymphadenopathy
C0581358  Gastric spasm (disorder)
C0740577  Acute abdominal pain
C0743317  chronic difficulty swallowing (symptom)
C0746779  chronic nausea (symptom)
C0750323  Intractable vomiting
C0849913  Localized erythema
C0849916  generalized change in color of skin to red (erythema)
C0878707  precipitous drop in hematocrit
C1262535  Jaundice, hepatocellular
C1279511  Malarial pigment deposition
C1280008  INTESTINAL ANGINA
C1291077  Bloating
C1304408  Urticarial vasculitis
C1319537  O/E - right eye background diabetic retinopathy (disorder)
C1319538  O/E - left eye background diabetic retinopathy (disorder)
C1319539  O/E - right eye preproliferative diabetic retinopathy (disorder)
C1319540  O/E - left eye preproliferative diabetic retinopathy (disorder)
C1319541  O/E - right eye proliferative diabetic retinopathy (disorder)
C1319542  O/E - left eye proliferative diabetic retinopathy (disorder)
C1319543  O/E - right eye diabetic maculopathy (disorder)
C1319544  O/E - left eye diabetic maculopathy (disorder)
C1386344  inguinal; adenopathy
C1386346  mediastinal; adenopathy
C1386351  mesenteric; adenopathy
C1386353  adenopathy; tracheobronchial
C1388945  atonic; dyspepsia
C1393776  constipation; drug, correct substance properly administered
C1394864  abdominal rigidity; severe abdominal pain
C1398734  glandular; hypertrophy
C1399101  cervical gland; hyperplasia
C1399104  cervical gland; swelling
C1399669  hilus gland; hypertrophy
C1401678  glands; swelling, localized
C1411946  abdominal; pain, severe
C1443044  bilious; attack
C1446312  Erythematous mucosa (disorder)
C1510416  Coffee ground emesis
C1565887  Physiologic jaundice in newborn, NOS
C1611181  stercoral; vomiting
C1719857  Hepatomegaly associated with AIDS (disorder)
C1740793  Post-tussive vomiting
C1955516  Dysphagia, pharyngeal phase
C1955517  Dysphagia, pharyngoesophageal phase
C2008807  frequent heartburn
C2008822  frequent vomiting just after eating
C2009901  gagging on food
C2009902  gagging on regurgitated food (symptom)
C2009903  gagging on foreign body (symptom)
C2009904  gagging on vomitus (symptom)
C2012602  swelling of lymph nodes in both sides of groin
C2029945  heartburn after meals (symptom)
C2029946  heartburn related to certain foods caffeine
C2029947  heartburn associated with certain foods (symptom)
C2029948  heartburn related to certain foods fatty foods
C2029949  heartburn related to non-steroidal anti-inflammatory drugs (NSAIDs)
