C0002170  Hair loss
C0013491  Ecchymoses
C0014745  Erythema palmare
C0015565  FAMILIAL ATYPICAL MULTIPLE MOLE
C0016579  Formication
C0016689  Ephelis
C0017565  Gingival Hemorrhage
C0019571  Multiple hairs per follicle
C0019572  Hirsutism
C0020458  Hyperhidrosis
C0020580  Hypoesthesia
C0021697  Intact hymen
C0022281  Itching of eye
C0024103  Lump or mass in breast
C0031538  Phimoses
C0037301  Skin Wrinklings
C0038990  Sweating
C0149774  SCROTAL MASS
C0150077  Impaired skin integrity
C0150085  Impaired tissue integrity
C0150993  Nail pitting
C0151609  SCROTAL EDEMA
C0152162  Factitial urticaria
C0154258  Gouty tophi of ear
C0157734  Variations in hair color
C0175167  Acneiform Eruptions
C0184564  Tactile alteration
C0184570  Peripheral alteration
C0221202  PAPULAR RASH
C0221203  RASH VESICULAR
C0221245  RHAGADES
C0221263  CAFE AU LAIT SPOT
C0221345  DISCOLORATION NAIL
C0221784  VULVAR LESION
C0222635  Sinus of breast
C0231355  Alteration in oral mucous membrane
C0231357  Potential impairment of skin integrity
C0232370  Plethora
C0232383  Epidermopoiesis, normal
C0232384  Abnormal epidermopoiesis
C0232385  Epidermopoiesis, increased
C0232386  Decreased epidermopoiesis
C0232388  Keratinization, normal
C0232389  Abnormal keratinization
C0232390  Increased keratinization
C0232391  Decreased keratinization
C0232394  Decreased shedding of cells from epidermal surface
C0232395  Decreased stratum corneum adhesiveness
C0232397  Increased stratum corneum water-binding capacity
C0232398  Decreased stratum corneum water-binding capacity
C0232408  Normal hair growth
C0232409  Abnormal hair growth
C0232410  Increased hair growth
C0232411  Hair growth function, decreased
C0232417  Calor
C0232418  Decreased skin temperature
C0232422  Increased percutaneous penetration
C0232423  Decreased percutaneous penetration
C0232432  Hidromeiosis
C0232440  Abnormal sebaceous gland activity
C0232442  Increased sebaceous gland activity
C0232444  Absent sebaceous gland activity
C0232447  Normal skin pH
C0232448  Abnormal skin pH
C0232449  Increased skin pH
C0232450  Decreased skin pH
C0232799  Turner's sign
C0233490  Hyposensitivity
C0234199  Absence of vibratory sense
C0234216  HEMIANESTHESIA
C0234218  Absence of 2-point discrimination
C0234236  Hemianalgesia
C0234237  Hemihypalgesia
C0234909  Nail changes
C0234913  RASH ERYTHEMATOUS
C0234918  MEASLY RASH
C0234919  PAPULOSQUAMOUS RASH
C0234920  PAPULOVESICULAR RASH
C0234923  RASH IMPETIGINOUS
C0234925  SKIN GREASY
C0235041  COLDNESS LOCAL
C0235047  SENSORY ABERRATIONS
C0235324  GINGIVAL SWELLING
C0235532  CYANOSIS PERIPHERAL
C0235807  HAIR TEXTURE ABNORMAL
C0235818  BULLOUS ERUPTION
C0235848  SKIN COLD CLAMMY
C0235908  HYPERTRICHOSIS AGGRAVATED
C0235967  SWEAT DISCOLORATION
C0237849  DESQUAMATION
C0238652  ANKLE ERYTHEMA
C0238658  purpura on ankle (physical finding)
C0238719  Loss of axillary hair
C0238968  bullae on cheek
C0238978  vesicle on cheek (physical finding)
C0238986  erythema on chest (physical finding)
C0239063  Circumoral pallor
C0239203  bullae on ear (physical finding)
C0239227  skin lesion on ears (symptom)
C0239265  bullae on elbow
C0239269  plaque on elbow (physical finding)
C0239343  Acral erythema
C0239378  pallor of extremities (physical finding)
C0239390  plaque on the lower extremities
C0239474  vesicle on eyelid (physical finding)
C0239513  Facial pallor
C0239582  cyanosis of finger
C0239585  erythema of finger (physical finding)
C0239602  Finger ulcer
C0239603  vesicle on the fingers
C0239637  bullae on foot (physical finding)
C0239639  desquamation of feet
C0239644  Erythema of foot
C0239651  papule on foot
C0239652  Paraesthesia of foot
C0239662  vesicle of foot (physical finding)
C0239663  bullae on forearm (physical finding)
C0239679  papule on forehead
C0239680  purpura on the face forehead
C0239735  Gingival erythema
C0239741  vesicle of gingiva (physical finding)
C0239801  Blonde hair
C0239813  bullae on hand
C0239817  desquamation of hand
C0239821  Erythema of hand
C0239823  lesions on hand (physical finding)
C0239835  papule on hand
C0239837  purpura on hand (physical finding)
C0239845  vesicle on hand
C0240073  Janeway's spots
C0240112  bullae on knee (physical finding)
C0240140  LABIAL ADHESION
C0240191  bullae on lip (physical finding)
C0240193  crusts on lip
C0240207  purpura on lip (physical finding)
C0240209  scales on lip (physical finding)
C0240210  skin lesion on lip
C0240218  LIP VESICLE
C0240248  papule on the lower extremities
C0240257  vesicle of lower extremity (physical finding)
C0240369  Erythema of mucous membrane of mouth (finding)
C0240371  Mouth Mucous Membrane Leukoplakia
C0240391  Mucous membrane erythema (finding)
C0240396  Mucous Membrane Leukoplakia
C0240430  Mee's line
C0240443  Transverse nail ridge
C0240481  papule on the neck
C0240514  nodules on the chest nipple(s)
C0240565  papule on the face nose
C0240575  skin lesion on nose (symptom)
C0240584  vesicle on nose (physical finding)
C0240702  Uncircumcised penis (finding)
C0240773  erythema of plantar aspect of foot
C0240829  Loss of pubic hair
C0240930  crusts on scalp
C0240931  Cyst of scalp
C0240934  excoriation on scalp (physical finding)
C0240939  scalp mass
C0240969  cyst of scrotum
C0241054  Skin Bullae
C0241079  skin lesions with central clearing (physical finding)
C0241083  crusting skin lesion (physical finding)
C0241100  lesions fluctuant
C0241113  polygonal skin lesions as symptom
C0241123  Lichenification of skin
C0241126  Moist skin
C0241127  Mottled skin
C0241128  Nikolsky's sign
C0241140  skin papule: brown [as symptom]
C0241148  Skin plaque
C0241157  Pustule
C0241158  CICATRIX SKIN
C0241178  Velvety skin
C0241181  Delicate skin
C0241270  SUBCUTANEOUS MASS
C0241365  Erythema of thigh
C0241431  erythema of tongue
C0241436  TONGUE MASS
C0241438  Tongue nodule
C0241495  papule on trunk
C0241512  vesicle of trunk (physical finding)
C0241523  Umbilical mass
C0241619  VAGINAL CYST
C0241712  Erythema of vulva
C0241713  Scratch marks on vulva
C0241716  VULVAR MASS
C0241751  Eczema of wrist
C0241752  Erythema of wrist
C0262478  FACIAL WRINKLES
C0263008  Fibrosis of the skin
C0263386  Acquired ichthyosis
C0263406  Atrophic spots of skin
C0263491  Pili torti
C0263498  Premature canities
C0263567  Adherent scar
C0266868  Habitual abrasion of teeth
C0266911  GUM BLUE LINE
C0268991  Adherent prepuce
C0269202  Cyst of cervix
C0269845  Prolapse of cord
C0269846  Cord entanglement, NOS
C0271304  Sebaceous cyst of eyelid
C0272389  Cicatrix of tonsil
C0272390  Cicatrix of adenoid
C0277840  Glove anesthesia
C0277843  Distal tingling on percussion (Tinel's sign)
C0277935  Dysecdysis
C0277939  Crow's feet
C0277942  Malar (butterfly) rash
C0277948  Increased thickness of skin
C0277949  Decreased thickness of skin
C0277957  Abnormal keratinization of hair follicle
C0277958  Abnormal keratinization of nail matrix
C0277960  Dry hair
C0280808  skin integrity changes secondary to cutaneous metastases
C0281822  DERMATOLOGICAL PROBLEM
C0281981  Skin Mass
C0281982  Skin Swelling
C0301621  Abnormal exocrine gland secretion
C0301622  Glandular function, exocrine, increased
C0302133  Mottled
C0311425  Absent exocrine gland secretion
C0332563  Papula
C0332565  Follicular papule
C0332575  Red
C0333128  BLACKHEADS
C0341789  Sebaceous cyst of scrotum
C0342501  Adrenal cyst
C0344313  Dyed hair
C0347842  O/E - cold sore
C0349448  Dissociated anaesthesia
C0349505  Acroderm pustulosa hiemalis
C0349506  Photosensitivity
C0349608  Spinal epidermoid cyst
C0349702  Corneal scar, NOS
C0376480  Gingival enlargement, NOS
C0399483  Hyperpigment of oral mucosa
C0399484  Racial pigment of oral mucosa
C0399485  Oral pigmentary incontinence
C0399486  Oral melanocytic macule
C0399487  Mel pig oral muc ass-systm con
C0399488  Bilirubin pigment oral mucosa
C0399489  Iron pigmentation of oral mucosa
C0399490  Exogenous pigment oral mucosa
C0399491  Systemic exog pigment oral muc
C0399492  Loc exogenous pigment oral muc
C0403640  Leucoplakia of bladder
C0405124  Cord round neck
C0406446  Damaged nail
C0406447  Arsenic-induced nail damage
C0406487  Rosaceal flushing
C0406492  Symmetrical lividities of sole
C0406772  Normal variation in cutaneous pigmentation
C0406773  Racial pigmentation
C0406789  Papular eruption of blacks
C0406790  Pregnancy dermatosis
C0406838  Mature scar
C0406840  Stretched scar
C0406841  Dirt engrained scar
C0406842  Pigmented scar
C0406847  Exuberant cicatrix
C0406851  Skin graft loss
C0406853  Skin graft put on upside-down
C0406857  Non-healing of skin donor site
C0406860  Dressing incl in healing proc
C0406861  Delayed heal skin donor site
C0406862  Conspicuous skin donor site
C0406864  Flap loss
C0406865  Full thickness flap loss
C0406866  Partial thickness flap loss
C0406867  Complete flap loss
C0406877  Exposure of tissue expander
C0406878  Deflation of tissue expander
C0410150  Rheumatic fever nodule
C0410994  Petechiae in fetus or newborn
C0423122  Ptosis of eyebrow
C0423137  Lid adhesions
C0423138  Tarsorraphy adhesions
C0423139  Scarring of lid
C0423140  Meibomian gland observation
C0423141  Absence of meibomian glands
C0423142  Loss of meibomian glands
C0423147  Dilated and inspissated meibomian orifices
C0423148  Meibomian secretion
C0423576  Irritation of ear
C0423578  Has an itchy eye
C0423580  Sensitive to touch
C0423581  Has numbness
C0423601  Sensation of swelling
C0423602  Foreign body sensation
C0423603  Pricking pain
C0423722  Excessive sensitivity to pain
C0423751  Symptoms of skin & integ tiss
C0423752  Skin texture
C0423753  Skin dirty
C0423754  Bad skin
C0423755  Unhealthy skin
C0423757  Thin skin
C0423758  Thick skin
C0423759  Hard skin
C0423760  Woody indurat skin + subcutis
C0423764  Pattern of pigmentation
C0423765  Staining of skin
C0423766  Nicotine stained fingers
C0423769  Burrows in skin
C0423770  Cavity in skin
C0423771  Skin punctum
C0423774  Scurfiness of skin
C0423776  Palmar pit
C0423777  Crust on skin
C0423779  Discharge from skin ulcer
C0423781  Gottron's papules
C0423783  Acne scar
C0423786  Wickham striae
C0423787  Blisters beneath skin
C0423788  Herpetiform eruption
C0423791  Rash, maculopapular
C0423794  Dilated blood vessels in skin
C0423795  Raised birthmark
C0423796  Flat birthmark
C0423798  EASY BRUISABILITY
C0423800  Nail observation
C0423802  Nails not growing
C0423803  Excessive growth of nails
C0423804  Nails grow quickly
C0423806  Pincer nail deformity
C0423807  Overcurvature of nail
C0423808  Brachyonychia
C0423809  Malalignment of nail
C0423810  Nail tissue observation
C0423811  Abnormality of nail tissue
C0423815  Nails crumble
C0423816  Surface of nail
C0423817  Nail surface rough
C0423819  Longitudinal grooving of nails
C0423820  Ridged nails
C0423821  Beaded ridging of nails
C0423824  Bitten nails
C0423825  Longitud brown stripes in nail
C0423826  Physiol brown stripes in nails
C0423827  White nails
C0423830  Punctate leuconychia
C0423831  Large lunula
C0423834  Grease spot nail
C0423835  Azure half-moon nail
C0423836  Nail fold observation
C0423838  Hangnail
C0423839  Nail bed observation
C0423840  Pseudo-clubbing
C0423842  Hair observation
C0423845  Poor hair growth
C0423846  Partial failure of hair growth
C0423849  Malposition of lashes
C0423851  Premature growth 2ry sex hair
C0423852  Delayed growth 2ry sex hair
C0423856  Biological hair pattern
C0423857  Androgenetic hair growth
C0423858  Male escutcheon
C0423859  Hair follicle observation
C0423860  Follicular plugging
C0423861  Hair cast
C0423867  Fine hair
C0423868  Wiry hair
C0423870  Hairs broken close to the skin
C0423871  Banded hair
C0423872  Bubble hair
C0423873  Circle hairs
C0423874  Club hairs
C0423876  Pohl-Pinkus hairs
C0423877  Spangled hair
C0423878  Split ends of hair
C0423879  Tapered hairs
C0423880  Weathered hair
C0423881  Racial hair type
C0423882  Highlighted hair
C0423883  Eyelash follicle observations
C0423885  Ulceration of lash follicles
C0423886  Collarettes of lash follicles
C0424052  Heightened auditory perception
C0424053  Sounds seem unnaturally clear
C0424055  Heightened visual perception
C0424056  Patterns appear intricately detailed
C0424057  Patterns appear interesting
C0424058  Heightened olfact perception
C0424059  Heightened perception of touch
C0424060  Heightened perception of taste
C0424315  Noise intolerance
C0424468  Nails dirty
C0424496  Plethoric face
C0424499  Sun-damaged skin on face
C0424514  Flushed complexion
C0424517  Goes blue
C0424553  Does not sweat abnormally
C0424555  Clammy sweat
C0424556  Sweating on one side of body
C0424557  Sweaty feet
C0424558  Sweaty hands
C0424559  Sweaty arm pits
C0424620  Excess subcutaneous fat
C0424624  Cellulite
C0424631  Loss of subcutaneous fat
C0424723  Soft tissue crepitus
C0424727  Smooth, soft hands
C0424729  Grimy, work-stained hands
C0424730  Palmar creases
C0424732  Pigmentation of palmar creases
C0424733  Addisonian pigmentation of palms
C0424735  White extremities
C0424736  Blue extremities
C0424737  Red extremities
C0424739  Pigmentation of fingers
C0424752  Fever with sweating
C0424850  Breast lump present
C0425804  Destructive lesion of nipple
C0425807  Lactiferous ducts observation
C0425808  Lactiferous duct prominent
C0425819  Vaginal hymen observation
