C0003107  Anogenital pruritus
C0005874  Blush
C0007940  Chancre, sporotrichotic
C0007942  Chancre, trypanosomal
C0007943  Chancre, tuberculous
C0010520  Cyanoses
C0012766  Disturbance of skin sensation
C0013196  Drug pigmentation
C0016382  Flushing
C0020429  Hyperpathia
C0020453  Hyperesthesia
C0028081  Night sweats
C0028643  Numbness
C0030232  Pallor
C0030554  PARESTHESIAS
C0033774  Itching
C0033775  Pruritus Ani
C0033776  Pruritus gravidarum
C0033777  Pruritus of genital organs
C0033778  Pruritus Vulvae
C0034880  Loudness Recruitment
C0038605  Subungual hyperkeratosis
C0041834  Erythema
C0042256  VAGINAL ITCHING
C0085624  Burning sensation
C0085625  Hypalgesia
C0085641  Rash, pustular
C0151206  Scalp tenderness
C0151838  CIRCUMORAL PARESTHESIA
C0151908  DRY SKIN
C0152030  IRRITATION SKIN
C0159040  Changes in skin texture
C0221200  Koplik spot
C0221201  MACULAR RASH
C0221226  CAPUT MEDUSAE
C0221232  WELTS
C0221261  Koilonychia
C0221730  NUMBNESS PERIORAL
C0231772  Burning feet
C0232412  Absent hair growth
C0232431  Cold sweat
C0232453  Skin rolling
C0232454  Furrowed brow
C0232455  Veraguth's folds
C0232500  Abdominal hyperesthesia
C0232502  Umbilical discharge
C0232503  Umbilical bleeding
C0232504  Umbilical pain
C0232958  Stomatomenia
C0234188  Tactile anesthesia
C0234190  Thermal hypesthesia
C0234191  Thermal anesthesia
C0234202  Absence of tickle sensation
C0234241  Indifference to pain
C0234655  Burning sensation in eye
C0234943  ANESTHESIA APPLICATION SITE
C0234944  ANESTHESIA INJECTION SITE
C0235006  HYPERESTHESIA SKIN
C0235018  NUMBNESS LOCALIZED
C0235044  PARESTHESIA DISTAL
C0235045  PARESTHESIA MUCOSAL
C0235046  PARESTHESIA SKIN
C0235049  TINGLING MUCOSAL
C0235050  TINGLING SKIN
C0235218  SKIN HYPEREMIA
C0235777  CYANOSIS NEONATAL
C0236078  SCROTAL PAIN
C0237322  Decreased skin turgor (finding)
C0239375  EXTREMITY NUMBNESS
C0239511  Numbness of face
C0239517  FACIAL PARESTHESIA
C0239649  Numbness of foot
C0239739  GINGIVAL PAIN
C0239832  Numbness of hand
C0239836  HAND PARESTHESIA
C0240194  Blue lips
C0240444  Increased thickness of nail
C0240608  Osler's node
C0240940  Scalp pain
C0240941  Scalp pruritus
C0241057  BURNING SKIN
C0241136  Pain of skin
C0241164  Skin tenderness
C0241165  Thickening of skin
