C0027947  Neutropenia
C0038002  Splenomegaly
C0040034  Thrombocytopenia
C0151190  Palpable purpura
C0151683  Neutrophilia, NOS
C0221147  PLATELET PRODUCTION DECREASED
C0221148  DESTRUCTION PLATELET INCREASED
C0238580  blood type ABO incompatibility
C0238658  purpura on ankle (physical finding)
C0238829  purpura on breast
C0239592  purpura on the fingers
C0239655  purpura of foot
C0239680  purpura on the face forehead
C0239837  purpura on hand (physical finding)
C0240207  purpura on lip (physical finding)
C0241228  Spleen palpable
C0241451  Exudate on tonsils
C0241501  purpura of trunk
C0272389  Cicatrix of tonsil
C0272390  Cicatrix of adenoid
C0332425  Lymphoma stage Ie
C0332426  Lymphoma stage II
C0332427  Lymphoma stage IIe
C0332428  Lymphoma stage III
C0332429  Lymphoma stage IIIs
C0332430  Lymphoma stage IIIe
C0332431  Lymphoma stage IIIse
C0332432  Lymphoma stage III 1
C0332433  Lymphoma stage III 2
C0332434  Lymphoma stage IV
C0333812  BASOPHILIA STIPPLING
C0340978  May-Hegglin anomaly
C0392386  PLATELETS DECREASED
C0396028  Tonsillar caseous debris
C0424820  Ulceration of lymph node
C0426464  Remnant adenoids
C0426506  Tonsil observations
C0426509  Tonsils meet in middle
C0426510  Tonsillar remnants
C0426532  Bleeding from tonsillar bed
C0426696  Spleen observation
C0426698  Position of edge of spleen
C0426699  Tip of spleen palpable
C0426700  Splenic notch palpable
C0426701  Spleen palpable on inspiration
C0426702  Spleen palpable R lat position
C0427543  MONOCYTOSIS
C0427544  Monocytopenia
C0436875  O/E - mouth - purpuric spots
C0436961  O/E -liver moderately enlarged
C0436962  O/E - liver grossly enlarged
C0437619  O/E - adenopathy
C0437621  O/E -cervical lymphadenopathy
C0437622  O/E-sub-mental lymphadenopathy
C0437623  O/E-supraclav.lymphadenopathy
C0437624  O/E -axillary lymphadenopathy
C0437625  O/E - inguinal lymphadenopathy
C0437626  O/E -popliteal lymphadenopathy
C0437627  O/E - lymph node character
C0437628  O/E - lymph nodes firm
C0437629  O/E - lymph nodes hard
C0437630  O/E - lymph nodes tethered
C0437631  O/E - lymph nodes discrete
C0437632  O/E - lymph nodes fluctuant
C0437633  O/E - lymph nodes tender
C0437634  O/E - spleen enlarged
C0437636  O/E - spleen just palpable
C0437637  O/E - moderate splenomegaly
C0437638  O/E - gross splenomegaly
C0437639  O/E - painful splenomegaly
C0437660  O/E - adenoid hypertrophy
C0437704  O/E - follicular tonsillitis
C0438258  Abnormal finding of blood chemistry, unspecified
C0455901  Small tonsils
C0455902  Healthy tonsils
C0455934  Small adenoids
C0455938  Large adenoids
C0456552  Absent adenoids
C0457505  Anticoagul excess w/out bleed
C0475143  O/E - anaemia
C0475145  O/E - equivocally anaemic
C0475146  O/E - clinically anaemic
C0475147  O/E - profoundly anaemic
C0476321  Red cell volume abnormal
C0497156  Lymphadenopathy
C0542083  MATURATION ARREST PLATELET
C0546403  Proteinaceous lymphadenopathy
C0549123  Large tonsils
C0553682  FIBRINOGEN PLASMA INCREASED
C0553720  SPHEROCYTOSIS
C0554996  Fungating tumor of lymph node
C0555730  O/E - hepatomegaly
C0558515  O/E - lymph nodes
C0559684  Inflamed tonsils
C0564610  Tonsil congested
C0566917  Purpura of vulva
C0576998  Tonsil present
C0576999  Absent tonsils
C0577000  Obs of appearance of tonsil
C0577001  Normal sized tonsils
C0577005  Obs of discharge of tonsil
C0577287  Spleen present
C0577288  Spleen absent
C0577289  Obs of sensation of spleen
C0577888  Observation of adenoids
C0577889  Adenoids present
C0578162  Observation of size of tonsil
C0578532  Observation of lymph node
C0578539  Observation of size of lymph node
C0578734  Obs lymph node + lymphatics
C0578767  Ulcerat cervical lymph node
C0578768  Ulcerat axillary lymph node
C0578769  Ulcerat inguinal lymph node
C0578770  Ulcerat epitroch lymph node
C0578771  Ulcerat popliteal lymph node
C0581077  History of - splenectomy (context-dependent category)
C0584836  Tonsil asymmetry
C0702266  BASOPHILIA
C0742175  enlarged posterior cervical lymph nodes
C0742906  elevated C-reactive protein (diagnosis)
C0744778  persistent fetal hemoglobin (diagnosis)
C0747788  preauricular lymph nodes enlarged
C0853697  Neutrophil count decreased
C0919890  FIBRINOGEN INCREASED
C0949157  carrier of genetic disease hemophilia A asymptomatic
C0949158  symptomatic carrier of hemophilia A
C1264017  Stress neutrophilia
