C0000731  ABDOMINAL DISTENTION
C0000873  Academic problem
C0002416  Ambidexterity
C0002418  Amblyopia
C0004377  Automatism
C0006647  Caffeine intoxication
C0010261  Cracked Tooth Syndrome
C0013144  Drowsiness
C0013220  Drug Tolerance
C0013378  Dysgeusia
C0014745  Erythema palmare
C0015663  Fasting
C0015967  Body temperature, increased
C0016242  FLOATERS, VITREOUS
C0016579  Formication
C0016689  Ephelis
C0018979  Hemianopia
C0019521  Singultus
C0020580  Hypoesthesia
C0022107  Irritable Mood
C0022281  Itching of eye
C0024817  Marital problem
C0026205  Mioses
C0027063  Myoclonia
C0027125  Myotonia
C0027794  Defect, Neural Tube
C0030318  Panic
C0033899  Psychological factors affecting physical condition
C0034935  Babinski Reflex
C0036454  Visual field defect
C0036674  Deprivation, Sensory
C0037316  Deprivation, Sleep
C0038435  State of stress
C0038661  Suicides
C0039437  Teething syndrome
C0040068  Thumb-sucking
C0040264  Tinnitus
C0040434  Discoloration, Tooth
C0040437  Teething
C0040825  Tremor, mercurial
C0041657  Loss of consciousness
C0042790  Visual disorder
C0085588  Rape trauma syndrome
C0085628  Stupor
C0150027  Ineffective family coping: compromised
C0150028  Ineffective family coping: disabling
C0150036  Dysfunctional grieving
C0150038  Health maintenance alteration
C0150041  Hopelessness
C0150056  Parental role conflict
C0150062  Post-trauma response
C0150075  Sensory perceptual alteration
C0150076  Altered sexuality patterns
C0150079  Sleep-pattern disturbance
C0150081  Spiritual distress (distress of human spirit)
C0150088  Unilateral neglect
C0150993  Nail pitting
C0151474  ALCOHOL INTOLERANCE
C0151572  CORNEAL REFLEX DECREASED
C0151611  ABNORMAL ELECTROENCEPHALOGRAM
C0151612  Defective ejaculation
C0151857  PLEOCYTOSIS
C0151888  REFLEXES DECREASED
C0151889  REFLEXES INCREASED
C0151934  GUSTATORY SENSE DIMINISHED
C0152191  Scotoma, central
C0152192  Enlarged blind spot
C0152231  Fracture, healed
C0154258  Gouty tophi of ear
C0154522  Cannabis abuse, in remission
C0159104  Electro-oculogram abnormal
C0184524  Cerebral alteration
C0184534  Spiritual state alteration
C0184537  Health-seeking behavior alteration
C0184540  Noncompliance with fluid volume
C0184543  Noncompliance with therapeutic regimen
C0184558  Meaningfulness alteration
C0184562  Kinesthetic alteration
C0184564  Tactile alteration
C0205255  Imprisonment
C0221101  Cyclic fever
C0221184  Hemianopia, bitemporal
C0221185  VISION YELLOW
C0221245  RHAGADES
C0221263  CAFE AU LAIT SPOT
C0221477  COLLAPSE VASOMOTOR
C0221543  Intracranial adaptive capacity impairment
C0221550  Community coping impairment
C0221571  Neurological Problem
C0221722  INVOLUNTARY MUSCLE MOVEMENT
C0231165  Decreased general body function
C0231227  Senile exhaustion
C0231271  Aseptic fever
C0231299  Decreased stress
C0231374  Impaired home maintenance management, mild
C0231375  Impaired home maintenance management, moderate
C0231376  Impaired home maintenance management, severe
C0231378  Impaired home maintenance management, chronic
C0231394  Decisional conflict (specify)
