C0000727  Abdomen, Acute
C0000729  ABDOMINAL CRAMP
C0000737  Abdominal Pain
C0003107  Anogenital pruritus
C0003126  Sense of smell, absent
C0003564  Loss of voice
C0004093  Asthenia
C0004134  Ataxia
C0004158  Athetoses
C0004317  Aural headache
C0005747  Blepharospasm
C0005874  Blush
C0007758  Ataxia, Cerebellar
C0007859  Cervicalgia
C0008983  Clitoral erection, painful
C0009024  Clonus
C0009090  Cluttering
C0009193  Coccygodynia
C0009951  Convulsion
C0010263  Cramp in limb
C0010520  Cyanoses
C0011124  Libido, Decreased
C0011364  Dental headache
C0012766  Disturbance of skin sensation
C0012833  Dizziness
C0013196  Drug pigmentation
C0013421  Dystonia
C0013428  Dysuria
C0014394  Enuresis
C0014724  Burping
C0015468  Facial Pain
C0015644  Muscular fasciculation
C0015672  Tiredness
C0015970  Fever of Unknown Origin
C0016199  FLANK PAIN
C0016204  Flatulence
C0016205  Flatulence, eructation, and gas pain
C0016382  Flushing
C0018681  Headache
C0018834  Heartburn
C0018991  Hemiplegia
C0019559  HIP PAIN
C0020429  Hyperpathia
C0020453  Hyperesthesia
C0020530  Hypersomnia with sleep apnea
C0021177  Libido, Increased
C0021712  Intention myoclonus
C0023218  LEG CRAMP
C0023380  Lethargy
C0024031  Back Pain, Low
C0024528  Malaise and fatigue
C0025287  Meningism
C0026821  MUSCLE CRAMPS
C0026826  Hypertonia, Muscle
C0026837  Muscle Rigidity
C0026838  Muscle Spasticity
C0027066  Jerking, Myoclonic
C0027427  Nasal headache
C0027769  Nervousness
C0027796  Neuralgias
C0028643  Numbness
C0028838  Ocular headache
C0029089  Oculomotor Paralysis
C0030197  Pain in or around eye
C0030214  Palatal myoclonus
C0030218  Palate paralysis
C0030232  Pallor
C0030552  Paresis
C0030554  PARESTHESIAS
C0030794  Pelvic Pain
C0032810  Postseizure headache
C0033774  Itching
C0033775  Pruritus Ani
C0033776  Pruritus gravidarum
C0033777  Pruritus of genital organs
C0033778  Pruritus Vulvae
C0034880  Loudness Recruitment
C0034886  RECTUM PAIN
C0034933  Abnormal Reflex
C0036356  Language, Schizophrenic
C0036396  Sciatic neuralgia
C0036572  Seizure
C0037195  Sinus headache
C0037317  Unspecified sleep disturbance
C0037763  Spasm
C0037771  Parapareses, Spastic
C0039070  Faintness
C0039591  TESTICULAR PAIN
C0040416  Adie's pupil
C0040460  Toothache
C0040485  Wry neck
C0040822  Tremors
C0040827  Tremor, saturnine
C0041834  Erythema
C0042256  VAGINAL ITCHING
C0042571  Vertigo
C0042818  Visual discomfort
C0043066  Waterbrash
C0085594  Chills and fever
C0085620  Flaccid paralysis
C0085624  Burning sensation
C0085625  Hypalgesia
C0085631  Agitation
C0085632  Apathy
C0085635  Photopsia
C0085636  Photophobia
C0086439  Decreased activity
C0086525  Lassitude
C0087169  Symptom, Withdrawal
C0149793  TRANSIENT MONOCULAR BLINDNESS
C0149840  Senile tremor
C0151206  Scalp tenderness
C0151315  Neck stiffness
C0151564  COGWHEEL RIGIDITY
C0151767  LIVER TENDERNESS
C0151827  OCULAR PAIN
C0151830  URETHRAL PAIN
C0151838  CIRCUMORAL PARESTHESIA
C0151908  DRY SKIN
C0152030  IRRITATION SKIN
C0152116  Spasmodic torticollis
C0152149  Mittelschmerz
C0152169  Renal colic
C0154693  Flaccid hemiplegia
C0154694  Spastic hemiplegia
C0154729  Atypical face pain
C0155001  Subjective visual disturbances
C0155002  Sudden visual loss
C0155004  Visual distortions of shape and size
C0155344  Spasm of conjugate gaze
C0155347  Anomalies of divergence
C0155382  Deficiencies of smooth pursuit movements
C0155533  Subjective tinnitus
C0155534  Objective tinnitus
C0159030  Insomnia with sleep apnea
C0159034  Transient paralysis of limb
C0159040  Changes in skin texture
C0175848  Sacrocoxalgia
C0178419  CRAMPS IN THE CALVES
C0178422  FOOT CRAMPS
C0184566  Comfort alteration
C0184567  Acute pain
C0220870  Lightheadedness
C0221100  HANGOVER EFFECT
C0221150  ODYNOPHAGIA
C0221166  PARAPARESIS
C0221169  HEMIBALLISMUS
C0221170  MUSCLE STIFFNESS
C0221512  ACHE STOMACH
C0221539  Transient alteration of awareness
C0221727  ESOPHAGEAL PAIN
C0221730  NUMBNESS PERIORAL
C0221776  MOUTH PAIN
C0231218  Malaise
C0231230  FATIGABILITY
C0231234  Senile asthenia
C0231270  Artificial fever
C0231272  Fever, hysterical
C0231384  Alteration in comfort: pain
C0231385  Alteration in comfort: chronic pain
C0231514  Local spasm
C0231515  Diffuse spasm
C0231521  Decorticate rigidity
C0231530  TWITCHING
C0231531  Fibrillation, muscular
C0231613  Occipital headache
C0231623  Femoral neuralgia
C0231661  Flail elbow
C0231697  Intermittent double-step gait
C0231700  Double step gait
C0231701  Drag-to gait
C0231702  Four-point gait
C0231703  Swing-through gait
C0231704  Three-point gait
C0231705  Oppenheim's gait
C0231706  Circling
C0231712  Duck gait
C0231715  Extensor lurch
C0231725  Short-leg limp
C0231772  Burning feet
C0231773  Calcaneal gait
C0231779  Heel-toe gait
C0231785  CARPOPEDAL SPASM
C0232085  Diaphragmatic spastic contraction
C0232292  CHEST TIGHTNESS OF
C0232487  ABDOMINAL DISCOMFORT
C0232488  Colic
C0232491  CHRONIC ABDOMINAL PAIN
C0232492  ABDOMINAL PAIN UPPER
C0232493  EPIGASTRIC ABDOMINAL PAIN
C0232494  Burning epigastric pain
C0232495  ABDOMINAL PAIN LOWER
C0232496  Midabdominal crampy pain
C0232497  Abdominal involuntary guarding
C0232498  Abdominal tenderness
C0232500  Abdominal hyperesthesia
C0232504  Umbilical pain
C0232533  Esophageal chest pain
C0232537  Esophageal colic
C0232593  Cardiac sphincter, hypertensive spasm
C0232695  Bowel sounds, decreased
C0232726  TENESMUS
C0232766  ASTERIXIS
C0232847  Enuresis, primary
C0232848  Enuresis, secondary
C0232849  BLADDER PAIN
C0232857  Psychogenic dysuria
C0232858  Dysuria, spastic
C0232954  Myelomenia
C0233467  Inappropriate affect
C0233470  Constricted affect
C0233473  Unpleasurable affect
C0233480  Hyperirritability
C0233536  Overlying behavior
C0233562  Disturbance in motor activity, NOS
C0233565  Slow physical movement
C0233576  Mannerism
C0233608  Catatonic rigidity
C0233612  Cerea flexibilitas
C0233647  Neologism
C0233759  Elementary hallucination
C0233762  Auditory Hallucinations
C0233763  HALLUCINATION VISUAL
C0233765  Hallucination, olfactory
C0233766  Gustatory hallucination
C0233769  Hallucination, lilliputian
C0233773  Hypnagogic Hallucinations
C0233775  Mood-congruent hallucination
C0233776  Mood-incongruent hallucination
C0233844  CLUMSINESS
C0233973  Painful penile erection
C0234038  Painful sexual act of male
C0234131  Motor dysfunction, NOS
C0234132  Pyramidal sign
C0234133  Extrapyramidal sign
C0234163  Dysmetria, rebound
C0234165  Hypometria
C0234166  Hyperexplexia
C0234178  Kernig's sign
C0234179  Brudzinski's sign
C0234184  Dyserethism
C0234188  Tactile anesthesia
C0234190  Thermal hypesthesia
C0234191  Thermal anesthesia
C0234202  Absence of tickle sensation
C0234213  Denervation, sensory
C0234215  Discomfort
C0234235  Tissue sensitivity
C0234241  Indifference to pain
C0234246  Abdominal rebound pain
C0234248  Neuralgia, reminiscent
C0234259  Hyperosmia
C0234261  Sensitivity to individual odor
C0234357  ADIADOKOKINESIS
C0234362  Synkinesia
C0234363  Post-hemiplegic chorea
C0234367  Ataxia, single limb
C0234369  Involuntary trembling
C0234370  Persistent tremor
