C0020458  Hyperhidrosis
C0021697  Intact hymen
C0021899  Intrauterine Device Expulsion
C0031538  Phimoses
C0038835  Superovulation
C0038990  Sweating
C0042267  Vaginitides
C0149707  HEMATOSPERMIA
C0149774  SCROTAL MASS
C0151609  SCROTAL EDEMA
C0151612  Defective ejaculation
C0151994  UTERINE ENLARGEMENT
C0151995  UTERINE FIBROIDS DEGENERATED
C0152453  Fissure of nipple
C0154211  Postablative ovarian failure
C0156371  UTERINE HYPERTROPHY
C0156373  Malposition of uterus
C0156388  Old vaginal laceration
C0220763  Vagina absent
C0221783  VAGINAL MASS
C0221784  VULVAR LESION
C0227791  Vaginal discharge
C0232937  Menstruation, missed
C0233126  Frequency of uterine contraction
C0233139  Uterine incoordination, second degree
C0233140  Spontaneous uterine inversion
C0233141  Forced uterine inversion
C0233147  Cervical dilatation, 1cm
C0233148  Cervical dilatation, 2cm
C0233149  Cervical dilatation, 3cm
C0233150  Cervical dilatation, 4cm
C0233151  Cervical dilatation, 5cm
C0233152  Cervical dilatation, 6cm
C0233153  Cervical dilatation, 7cm
C0233154  Cervical dilatation, 8cm
C0233155  Cervical dilatation, 9cm
C0233158  Cervical effacement, 10%
C0233159  Cervical effacement, 20%
C0233160  Cervical effacement, 30%
C0233161  Cervical effacement, 40%
C0233162  Cervical effacement, 50%
C0233163  Cervical effacement, 60%
C0233164  Cervical effacement, 70%
C0233165  Cervical effacement, 80%
C0233166  Cervical effacement, 90%
C0233178  Cervical annular detachment
C0233305  CONDITIONS OF THE FETAL MEMBRANES
C0233306  Fetal membranes, intact
C0233308  Fetal membranes, rupture
C0233931  Emission, nocturnal
C0233975  Abnormal angle of erection
C0235643  Aggravated prostatism
C0235664  Cervical discharge
C0235675  UTERUS RELAXED
C0235848  SKIN COLD CLAMMY
C0235967  SWEAT DISCOLORATION
C0237011  No measurable ovarian simple cysts
C0237029  Normal endometrium
C0237031  Abnormal endometrium
C0237062  Anteverted uterus
C0237063  Anteflexed uterus
C0238296  hypertrophy; myometrium
C0238594  ADNEXAL TENDERNESS
C0239277  Mass of epididymis
C0240140  LABIAL ADHESION
C0240322  MENSES ONSET DELAYED
C0240508  Erythema of nipple
C0240514  nodules on the chest nipple(s)
C0240520  Swelling of nipple
C0240611  OVARIAN MASS
C0240682  pain in the pelvic girdle
C0240691  Penile Mass
C0240701  Small penis
C0240702  Uncircumcised penis (finding)
C0240829  Loss of pubic hair
C0240969  cyst of scrotum
C0241351  Cyst of testes
C0241353  TESTICULAR MASS
C0241355  Small testicle
C0241619  VAGINAL CYST
C0241623  Brown vaginal discharge
C0241625  foul-smelling vaginal discharge (symptom)
C0241626  Frothy vaginal discharge
C0241628  Mucoid vaginal discharge
C0241629  Purulent vaginal discharge
C0241631  Watery vaginal discharge
C0241632  Yellow vaginal discharge
C0241633  DRYNESS VAGINAL
C0241712  Erythema of vulva
C0241713  Scratch marks on vulva
C0241716  VULVAR MASS
C0262411  CERVICAL HYPERPLASIA
C0262498  GYNECOLOGIC PROBLEM
C0266781  Nonspecific abnormal findings in amniotic fluid
C0268991  Adherent prepuce
C0269009  Atrophy of penis
C0269011  Hypertrophy of penis
C0269202  Cyst of cervix
C0269610  Placenta previa found before labor and delivery by cesarean section without hemorrhage
C0269734  Retroverted gravid uterus
C0269747  Previous operation to cervix affecting pregnancy
C0269750  Tumor of cervix affecting pregnancy
C0269752  Previous surgery to vagina affecting pregnancy
C0269757  Tumor of vagina affecting pregnancy
C0269763  Tumor of vulva affecting pregnancy
C0269800  Leakage of amniotic fluid
