C0008983  Clitoral erection, painful
C0009193  Coccygodynia
C0013428  Dysuria
C0018933  Hematocolpometra
C0019559  HIP PAIN
C0023533  Leukorrhea
C0028081  Night sweats
C0030794  Pelvic Pain
C0033777  Pruritus of genital organs
C0033778  Pruritus Vulvae
C0034886  RECTUM PAIN
C0039591  TESTICULAR PAIN
C0042256  VAGINAL ITCHING
C0149741  NIPPLE DISCHARGE
C0149751  PENILE LESION
C0151830  URETHRAL PAIN
C0152149  Mittelschmerz
C0152169  Renal colic
C0156308  Edema of penis
C0156317  Edema of male genital organs
C0156405  Ovulation bleeding
C0175848  Sacrocoxalgia
C0221226  CAPUT MEDUSAE
C0232431  Cold sweat
C0232726  TENESMUS
C0232849  BLADDER PAIN
C0232857  Psychogenic dysuria
C0232858  Dysuria, spastic
C0232943  MENOMETRORRHAGIA
C0232947  Menstruation, supplementary
C0232950  Atopomenorrhea
C0232951  Enteromenia
C0232952  Gastromenia
C0232953  Helcomenia
C0232954  Myelomenia
C0232955  Menouria
C0232956  Mastomenia
C0232957  Proctomenia
C0232958  Stomatomenia
C0232968  Menopausal problem, NOS
C0232971  Delayed menopause
C0232982  Complete spermatogenic arrest
C0232983  Incomplete spermatogenic arrest
C0233134  Inversion of uterine contraction
C0233135  Fundal dominance of uterine contraction
C0233138  Uterine incoordination, first degree
C0233187  Braxton Hicks contractions
C0233189  Goodell's sign
C0233191  Hegar's sign
C0233194  Souffle, uterine
C0233204  Calkin's sign
C0233389  Subinvolution of breast
C0233390  Postlactation subinvolution of breast
C0233973  Painful penile erection
C0235612  URETHRAL BURNING ON MICTURITION
C0235633  URETERAL PAIN
C0235634  COSTOVERTEBRAL ANGLE TENDERNESS
C0235641  PERINEAL PAIN FEMALE
C0235642  GENITALIA EXTERNAL PAINFUL
C0235678  VAGINAL ODOR
C0235808  PERINEAL PAIN MALE
C0236075  Menopausal symptom, NOS
C0236078  SCROTAL PAIN
C0236080  Discomfort of vagina
C0236082  Vaginal pain
C0236083  Burning feeling vagina
C0238637  Anal pain
C0239278  Epididymal pain
C0239783  PAIN GROIN
C0240515  Nipple pain
C0240521  Nipple tenderness
C0240717  [D] Perineal pain
C0240812  PAIN PROSTATIC
C0240813  Prostate tender
C0241562  Urethral meatal pain
C0241656  Vas deferens tender
C0241705  URINATION DIFFICULTY
C0241709  Burning sensation of vulva
C0241718  Pain of vulva
C0242453  Prostatism
C0268988  Itching of penis
C0278053  Abnormal vaginal odor
C0278107  Painful ejaculation
C0282005  Swelling of Scrotum
C0312414  Spotting
C0341961  Vulval varices in pregnancy
C0343731  Penile warts
C0392071  Prostatorrhea
C0392162  CLAMMINESS
C0404484  Chronic pelvic pain
C0404555  Contact bleeding
C0406671  Burning scrotum
C0406672  Proctodynia
C0406846  Post-episiotomy pain
C0423610  Female genital pain
C0423637  Sore nipple
C0423647  Iliac fossa pain
C0423701  Urinary tract pain
C0423703  Genitourinary pain
C0423735  Tenesmus, urinary
C0423736  Burning on urination
C0423739  Tenesmus - anal
C0425791  Peau d'orange over breast
C0425816  Female genital organ sympt.NOS
C0425936  Length of cycle decreasing
C0425937  Period has come early
C0426021  Cervical dilatation, 10cm
C0426390  Spasm of bladder
C0439019  C/O - ureteric colic
C0439042  C/O - renal pain
C0451941  Itching of scrotum
C0455979  Menstruation postponed
C0455981  C/O - ureteric pain
C0457225  Cervical effacement, 100%
C0458104  Pain in male genitalia
C0458109  Ovarian pain
C0458112  Chr pelv pain w/out obv pathol
C0458232  Arthralgia of sacroiliac joint
C0473249  Idiopathic scrotal edema
C0476306  Pain in right iliac fossa
C0476307  Left iliac fossa pain
C0478659  Pelvic and perineal pain
C0497456  Menstruation absent
C0497481  PENILE PAIN
C0520586  Dryness of vulva
C0520587  Vulvovaginal discomfort
C0520588  Vulvovaginal pain
C0520589  Vulvovaginal dryness
C0521628  Itching of male genital organs
C0521629  Leukoplakia of male genital organs
C0521632  Irritation of penis, NOS
C0521634  Female genital pruritus
C0521635  Female genital leukoplakia
C0522123  Renal angle pain
C0541951  EXUDATE NIPPLES BLOODY
C0542254  VAGINAL PAIN OR BURNING
C0547004  Regular intermenstrual bleeding
C0547005  Midcycle bleeding
C0555976  Vulva sore
C0558489  KIDNEY PAIN
C0559208  Anal stump pain
C0560252  Post-vasectomy epididymal pain
C0560253  Persistent testicular pain
C0566909  Inflammation of vulva
C0566922  Vulva tender
C0566948  Swelling of vagina
C0567083  Tender body of uterus
C0567237  Bluish discolor cervix
C0567519  Clear nipple discharge
C0567521  Serosang nipple discharge
C0567522  Nipple discharge - pus
C0567523  Milky nipple discharge
C0567526  Green nipple discharge
C0577256  Prostate swelling
C0577569  Mass of male genital structure
C0577570  Mass female genital structure
C0577592  Swelling male genital struct
C0577593  Epididymal swelling
C0577594  Swelling female genital struct
C0578084  Genitourinary tenderness
C0578085  Urinary tract tenderness
C0578086  Tenderness of male genitalia
C0578087  Tenderness of female genitalia
C0578100  RIF - Tenderness R iliac fossa
C0578101  LIF - Tenderness L iliac fossa
C0578109  RIF-Rebnd tendern R iliac foss
C0578110  LIF-Rebnd tendern L iliac foss
C0581322  Bony pelvic pain
C0581362  Anorectal pain
C0581909  Vulval irritation
C0585134  Perianal pain
C0585958  Genital varices in puerperium
C0585977  Vaginal varices in puerperium
C0600142  Hot flash
C0700590  DIAPHORESIS
C0747453  penile tenderness (physical finding)
C0848360  scrotal tenderness
C0849986  localized penile swelling of foreskin (symptom)
C0850758  PAIN PELVIC
C0919793  breast pruritus
C1282322  acute pelvic pain
C1282799  Swelling of Penis
C1288081  Inflammatory testicular mass
C1385682  abdominal; pain, lower abdomen, pelvic or perineal
C1390183  hemorrhage; intermenstrual
C1390319  hemorrhage; uterus, intermenstrual (regular)
C1397829  frequency; micturition, and painful
C1401823  cramp(s); uterus
C1404807  nephralgia
C1405030  pain; micturition, and frequent
C1405032  lower abdomen; pain, pelvic or perineal
C1407990  ureteralgia
C1408330  renal calculus; colic
C1960183  Chronic vaginal pain
C1960888  Pain in female pelvis
C2006247  cannot feel string of intrauterine device (symptom)
C2008810  frequent passing of dime-sized blood clots during periods (symptom)
C2008811  frequent passing of egg-sized blood clots during periods (symptom)
C2008812  frequent passing of large blood clots during periods
C2008813  frequent passing of quarter-sized blood clots during periods
C2010797  generalized scrotal swelling (symptom)
C2012498  gradual onset of hip joint pain
C2012602  swelling of lymph nodes in both sides of groin
C2012603  groin pain progressive with decreased level of activity
C2012604  groin pain progressive with same level of activity (symptom)
C2012605  groin pain radiating to testicle (symptom)
C2012606  radiating groin pain
C2012607  groin pain worsens then abates
C2016603  pain during intercourse at entry
C2016845  soft tissue pain in the pelvic girdle
C2016846  soft tissue pain in the pelvic girdle on both sides
C2016847  soft tissue pain in the left pelvic girdle
C2016848  soft tissue pain in the right pelvic girdle
C2029696  headache associated with menopause
C2030274  metrorrhagia
C2030275  heavy bleeding since the last period
C2031022  hip joint pain improved by rest (symptom)
C2031023  hip joint pain worse on rising
C2031024  hip joint pain worse with running
