C0008301  Choking
C0009144  Furred tongue
C0010261  Cracked Tooth Syndrome
C0011057  Sudden hearing loss, NOS
C0011330  Calculus, Dental
C0013082  Downward displacement of diaphragm
C0017565  Gingival Hemorrhage
C0018772  Hearing Loss, Partial
C0019521  Singultus
C0020303  Hydropneumothorax
C0020578  Hyperventilation
C0026644  Edentulous mouth
C0027429  Nasal Obstruction
C0032230  Friction rub, pleural
C0035232  Diaphragmatic Paralysis
C0037383  Sneezing
C0039437  Teething syndrome
C0040264  Tinnitus
C0040434  Discoloration, Tooth
C0040437  Teething
C0043387  Yawning
C0086066  Acute Coryza
C0149726  LUNG MASS
C0151574  COUGH DECREASED
C0152242  Emphysematous bleb
C0155540  Otorrhea
C0220854  hyperpnea
C0221725  BRONCHIAL OBSTRUCTION
C0231826  Increased Bohr effect
C0231827  Decreased Bohr effect
C0231833  Normal respiratory rate
C0231834  Abnormal respiratory rate, NOS
C0231843  Normal respiratory rhythm
C0231844  Abnormal respiratory rhythm
C0231848  AIR HUNGER
C0231858  Breath sounds, bronchovesicular
C0231870  Bronchophony
C0231872  Egophony
C0231898  Diaphragmatic breathing
C0231903  Paradoxic movement of lower ribs
C0231904  Biphasic movement of lower ribs
C0231905  Dissociation of movement of chest wall
C0231906  Chest wall retraction
C0231911  Cough, paroxysmal
C0231919  Dry nose
C0231935  Abnormal distribution of ventilation
C0231941  Blunted hypoxic drive
C0231943  REGIONAL VENTILATION DIFFERENCES
C0231944  Regional ventilation differences due to gravity
C0231945  Regional ventilation differences due to pleural pressure
C0231946  Regional ventilation differences due to unequal bronchial pathway lengths
C0231947  Regional ventilation differences due to unequal stress
C0231948  Regional ventilation differences due to unequal compliance
C0231949  Regional ventilation differences due to local airway resistance
C0231950  Unequal ventilation, NOS
C0231951  Pendelluft
C0232000  Abnormal airflow, NOS
C0232017  Increased lung compliance
C0232268  Cardiac friction fremitus
C0232508  Abnormal tooth attrition
C0232516  Expectoration of abnormal sputum
C0234784  Absent gag reflex
C0234866  Barking cough
C0234953  SPASM TONGUE
C0235324  GINGIVAL SWELLING
C0235356  TEETH YELLOW
C0235429  ACETONE BREATH
C0235546  HYPOPNEA
C0235553  VOCAL CORD THICKENING
C0235567  SPUTUM INCREASED
C0236071  THROAT TIGHTNESS
C0237244  Difficulty hearing normal speech tones (finding)
C0237304  Noisy respiration
C0238844  Decreased transmission of breath sounds
C0238845  Increased transmission of breath sounds
C0239008  CHEST TENDERNESS OF
C0239064  Jaw claudication
C0239133  Hacking cough
C0239324  Prolonged expiration
C0239571  Fetor hepaticus
C0239735  Gingival erythema
C0239741  vesicle of gingiva (physical finding)
C0240156  Laryngeal crepitus
C0240308  Tender mastoid
C0240351  Morning cough
C0240459  Swollen nasopharynx
C0240577  Swollen nose
C0241246  tender sternum on palpation (physical finding)
C0241431  erythema of tongue
C0241436  TONGUE MASS
C0241438  Tongue nodule
C0241451  Exudate on tonsils
C0241465  Peg tooth
C0242385  Bite, Cross
C0262502  HEARING LOSS OF LEFT EAR
C0262503  HEARING LOSS OF RIGHT EAR
C0264169  Saddle back nose, NOS
C0264330  Tracheostomy obstruction
C0264576  Mediastinal shift
C0266868  Habitual abrasion of teeth
C0266911  GUM BLUE LINE
C0266935  Malocclusion due to mouth breathing
C0266937  Malocclusion due to lip habits
C0272389  Cicatrix of tonsil
C0272390  Cicatrix of adenoid
C0274247  Foreign body in hypopharynx
C0274248  Foreign body in nasopharynx
C0274252  Foreign body in bronchioles
C0274253  Foreign body in lung
C0277620  Asphyxiation by injury to air passages
C0277623  Asphyxiation by environmental toxic gas
C0277626  Suffocation by bedclothes
C0277630  Suffocation by pressure
C0277855  Inspiratory dyspnea
C0277858  Absent breath sounds
C0277865  Pleuritic breathing
C0277868  Tracheal breath sounds
C0277870  Spasmodic cough
C0277871  Bovine cough
C0277872  Brassy cough
C0277877  Increased density of lung
C0277878  Increased vascular markings of lung
C0277982  Alcohol breath
C0277983  Uremic breath
C0281800  Chronic Mouth Breathing
C0311412  Increased oxygen supply
C0344305  Intercostal myalgia
C0344357  Nocturnal dyspnea
C0344369  Submucosal haemorr,vocal cord
C0347825  C/O - catarrh
C0347837  O/E - pulmonary edema
C0347840  O/E - fibrosis of lung
C0348813  TB lung, no bact/histolog exam
C0349471  Aspiration of mucus in newborn
C0349790  Exacerbation of asthma
C0376480  Gingival enlargement, NOS
C0392098  Lung transplant status
C0392454  Upper respiratory tract obstruction
C0395908  Discharging mastoid cav,mucous
C0395956  Tinnitus of muscular origin
C0395957  Tinnitus arising from tensor tympani
C0395958  Tinnitus arising from tensor palatini
C0395960  SOAE - SOAE related tinnitus
C0396028  Tonsillar caseous debris
C0396053  Singer's node
C0396064  Bowing of vocal cord
C0399412  Extrinsic staining of tooth
C0399413  Betel deposit on teeth
C0399414  Tobacco deposit on teeth
C0399415  Extrinsic stain tooth - black
C0399416  Extrinsic stain tooth - brown
C0399417  Extrinsic staining of tooth - chromogenic plaque flora
C0399420  Intrin stain non-vital tooth
C0399421  Intrin stain tooth metab dis
C0399422  Intrin stain tooth-drug inducd
C0399444  Thickened dental follicle
C0399556  Malocclusion due to finger habits
C0411035  Aspiration of vomit in newborn
C0412771  SR - Spontaneous respiration
C0421202  Increasing exercise wheeze
C0421207  Airways obstruction reversible
C0421208  Airways obstructn irreversible
C0421211  Asthma disturbing sleep
C0421212  Asthma not disturbing sleep
C0421214  Asthma not limiting activities
C0423546  Dead ear
C0423569  Things smell different
C0423570  Abnormal smell in nose
C0423730  Painful cough
C0424409  Self-asphyx during masturbatn
C0425442  Respiratory observations
C0425447  Breathless - mild exertion
C0425448  Breathless - moderate exertion
C0425450  Can't breathe deeply enough
C0425451  Can't blow
C0425453  Partially obstructed airway
C0425455  Choking during respiration
C0425457  Chest movement unequal
C0425458  L chest moves less than right
C0425459  R chest moves less than left
C0425460  Paradoxical chest movement
C0425461  Hemithorax immobile
C0425464  Predominantly intercostal respiratory movement
C0425465  Pursed-lip breathing
C0425467  Visible respiratory effort
C0425468  Accessory respir muscles used
C0425469  Indrawing of ribs during respiration
C0425470  Chest wall retraction, intercostal
C0425471  Sternal recession
C0425472  Subcostal recession
C0425473  Inspiratory tracheal tug
C0425475  Adopts partic posture breathng
C0425476  Croupy breathing
C0425478  Groaning respiration
C0425479  Hissing respiration
C0425480  Rattling breathing
C0425482  Sobbing respiration
C0425483  Whistling respiration
C0425484  Whistling in nose
C0425488  Panting
C0425491  Catching breath
C0425492  Irregular breathing
C0425494  Depth of respiration varies
C0425495  Depth of breathing uneven
C0425496  Clearing throat - hawking
C0425497  Unable to cough
C0425499  Cough impulse impaired
C0425500  Cough reflex absent
C0425504  Productive cough -green sputum
C0425505  Productive cough -clear sputum
C0425506  Productive cough-yellow sputum
C0425509  Cough when swallowing
C0425515  Copious sputum
C0425516  Moderate sputum
C0425517  Scanty sputum
C0425518  No sputum
C0425519  Consistency of sputum
C0425523  Trachea central
C0425524  Trachea displaced to left
C0425525  Trachea displaced to right
C0425527  Trachea moves down on insp
C0425531  Absent resonance
C0425535  Dull percuss over Traube space
C0425537  Diaph dull percuss displacd up
C0425538  Sounds within the chest
C0425539  Large airway sounds
C0425540  Increased vocal resonance
C0425541  Decreased vocal resonance
C0425542  Adventitious sound
C0425543  Coarse rales
C0425544  Fine rales
C0425545  Moist crackles
C0425546  Bubbling crackles
C0425547  Latent rales
C0425548  Transmitted sounds
C0425549  Respiratory clicking sound
C0425550  Respiratory squawk
C0425551  Respiratory squeak
C0425552  Pleuropericardial rub
C0425553  Succussion splash in chest
C0425554  Hiccough present
C0425649  Exocardial murmurs
C0425651  Clicking pneumothorax
C0426406  Nose and sinus observation
C0426407  Nose examination - normal
C0426413  Concerned about shape of nose
C0426414  Small nose
C0426415  Large nose
C0426421  Nasal bridge wide
C0426422  Narrow nose
C0426423  Bridge of nose abnormally high
C0426424  Nasal hump
C0426426  Parrot beak nasal deformity
C0426428  Bifid nasal tip
C0426429  Broad nasal tip
C0426430  Drooping nasal tip
C0426432  Hanging columella
C0426433  Pinched nasal tip
C0426434  Square nasal tip
C0426436  Small nostrils
C0426438  Stenosis of nostrils
C0426439  Alar slump, nose
C0426440  Large nostrils
C0426441  Cleft lip nasal deformity
C0426442  Nasal airway observation
C0426443  Nasal cavity over-patent
C0426445  Variation in patency of nasal airway
C0426446  Transient clear nasal airway
C0426447  Alternate nasal obstruction
C0426448  Problem blowing nose
C0426450  Blowing nose ineffectual
C0426453  Blood in nasal cavity
C0426454  Pack in nasal cavity
C0426455  Nasal mucosa observation
C0426457  Nasal turbinate observations
C0426458  Nasal septum observation
C0426460  Nasal septal spur
C0426461  Prominent vessel Little's area
C0426462  Nasopharynx observation
C0426464  Remnant adenoids
C0426468  Bleeding from back of nose
C0426469  Bleeding point in nose
C0426470  Facial sinus observation
C0426472  Blocked sinuses
C0426473  Maxillary sinus observation
C0426474  Translucency maxillary sinus
C0426475  Expanded maxillary sinus
C0426477  Fronethm sinus observation
C0426478  Expanded frontal sinus
C0426479  Defect in wall frontal sinus
C0426483  Throat examination - normal
C0426489  Cleft gum
C0426490  Tongue observation
C0426492  Small tongue
C0426493  Symmetry of tongue
C0426494  Wasting of tongue
C0426495  Surface of tongue
C0426496  Large fungiform papillae
C0426497  Large circumvallate papillae
C0426499  Beefy red tongue
C0426500  Frenulum of tongue observation
C0426501  Short frenulum of tongue
C0426502  Split frenulum of tongue
C0426505  Pharyngeal observations
C0426506  Tonsil observations
C0426509  Tonsils meet in middle
C0426510  Tonsillar remnants
C0426511  Postnas disch post wall pharnx
C0426512  Lymph follicles post pharynx
C0426522  Gingivae observation
C0426523  Deposit on gingivae
C0426524  Discharge from gums
C0426525  Accumulation debris under gums
C0426528  Contact bleeding of gums
C0426530  Bleeding from fauces
C0426532  Bleeding from tonsillar bed
C0426538  Larynx observation
C0426539  External larynx observation
C0426540  Laryngeal scar
C0426541  Laryngectomy scar
C0426542  Tracheostomy scar
C0426544  Partial larynx
C0426545  No view of vocal cords
C0426546  Glottis observation
C0426547  Vocal cord absent
C0426548  Vocal cord obliterated
C0426549  Vocal cord irregular
C0426550  Vocal cords webbed
C0426554  Vocal cord adducted at rest
C0426555  Vocal cord abducted at rest
C0426556  Vocal cord prolapse
C0426557  Function of vocal cords
C0426558  Vocal cord does not adduct on phonation
C0426559  Impaired adduc voc cord,phontn
C0426560  Cricoaryt jnt fixed on phonatn
C0426561  Bowing of vocal cord on phonation
C0426562  Vocal cord does not adduct on coughing
C0426566  Supraglottic atrophy
C0426567  Infantile epiglottis
C0426572  Bleeding from larynx
C0426610  Choking attacks
C0426794  Chest over-expanded
C0426985  Increased protrusion of tongue
C0426986  Lat deviatn tongue on protrusn
C0426987  Trombone tongue
C0426988  Constant movement of tongue
C0426989  Ruminating movements of tongue
C0426992  Drooping of soft palate
C0426994  Deviation of uvula
C0426995  Poor elevation soft palate
C0428689  I/E - Inspiration/expiration
C0429170  Caries active
C0429213  Nasal airway patent
C0429674  Lung function significantly obstructed (situation)
C0429675  Lung function mildly obstructed (situation)
C0429676  Lung function restrictive
C0429684  Distrib ventilation:perfusion
C0429729  Less than 60% of predicted peak expiratory flow rate
C0429731  60-80% of predicted PEFR
C0429750  Carbon monox transfer factor
C0429751  Oxygen transfer factor
C0433717  Ecchymosis of gingivae
