C0003126  Sense of smell, absent
C0003580  Apnea, drug induced
C0008033  Chest pain, pleuritic
C0008035  CHEST WALL PAIN
C0008039  Cheyne Stokes Respiration
C0010200  Cough
C0010201  Cough, chronic
C0013404  Breathlessness
C0013456  Earache
C0017672  Painful tongue
C0018520  Bad breath
C0019079  Hemoptyses
C0019825  Hoarseness
C0020440  Carbon dioxide, increased level
C0026635  Breathings, Mouth
C0027424  Nasal congestion
C0030214  Palatal myoclonus
C0032781  Postnasal drip
C0034642  Crackle
C0035508  Rhonchi
C0037090  Signs and Symptoms, Respiratory
C0037195  Sinus headache
C0037384  Snoring
C0038450  Stridor
C0040460  Toothache
C0043144  Wheezing
C0043352  Salivary secretion, decreased
C0085619  Orthopnea
C0151826  CHEST PAIN SUBSTERNAL
C0152029  SINUS CONGESTION
C0152228  Diplacusis
C0155533  Subjective tinnitus
C0155534  Objective tinnitus
C0155542  Otogenic pain
C0221161  Shallow breathing
C0231803  Dyspnea, class I
C0231804  Dyspnea, class II
C0231805  Dyspnea, class III
C0231806  Dyspnea, class IV
C0231807  DOE
C0231808  Dyspnea after eating
C0231809  Dyspnea leaning over
C0231810  Dyspnea raising arms
C0231813  Ataxic breathing
C0231815  Frog breathing
C0231816  Hysteresis, pulmonary
C0231818  Airway constriction
C0231819  Air trapping
C0231835  TACHYPNEA
C0231837  BRADYPNEA
C0231840  Apneusis
C0231841  Stertorous respiration
C0231846  Cluster breathing
C0231851  Fish-mouthing
C0231852  Paradoxical respiration
C0231855  Breath sounds, normal
C0231856  Abnormal breath sounds
C0231857  Breath sounds, vesicular
C0231859  Harsh breath sounds
C0231860  Amphoric breath sounds
C0231862  Rhonchi, sibilant
C0231863  Rhonchi, sonorous
C0231867  Medium rales
C0231871  Whispered pectoriloquy
C0231873  Bronchial breathing
C0231874  Inspiratory wheezing
C0231875  Expiratory wheezing
C0231876  Coin sign
C0231880  Superficial crackling rales
C0231882  Hyperresonance
C0231890  Fremitus
C0231891  Fremitus, vocal
C0231893  Fremitus, pleural friction
C0231894  Fremitus, tussive
C0231895  Fremitus, rhonchal
C0231912  Cough, nocturnal
C0231913  Cough, early morning
C0231914  Cough at rest
C0231916  Cough after eating
C0231917  Cough, postural
C0231918  NASAL SYMPTOMS
C0231929  Acute hypoventilation
C0231930  Chronic hypoventilation
C0232286  Precordial pain
C0232513  Premature tooth loss
C0232514  Tooth chattering
C0232517  Gurgling
C0232608  Nasal regurgitation
C0232958  Stomatomenia
C0234259  Hyperosmia
C0234261  Sensitivity to individual odor
C0234849  Hypernasality of vowels and voiced consonants
C0234852  Nasal grimacing
C0234863  Wheezing stridor
C0235234  THROAT DRY
C0235282  EAR ROARING
C0235283  EAR BUZZING
C0235285  EAR HISSING
C0235568  BRONCHORRHEA
C0235744  BREATH HOLDING
C0236000  JAW BONE PAIN
C0238997  Dullness, percussive
C0239134  Loose cough
C0239206  EAR CRACKLING
C0239223  External ear pain
C0239548  Fasciculation of tongue
C0239739  GINGIVAL PAIN
C0240211  Swelling lips
C0240311  maxillary pain (symptom)
C0240564  Pain of nose
C0240578  Nose tender
C0241235  Expectoration of purulent sputum
C0241426  Burning tongue
C0241439  Paraesthesia of tongue
C0241457  teeth sensitive to cold (symptom)
C0241462  teeth sensitive to heat (symptom)
C0241700  Decreased vocal loudness
C0241902  Grunt
C0242429  Sore Throat
C0262451  DIMINISHED HEARING
C0264272  Purulent nasal discharge
C0264274  Catarrhal nasal discharge
C0264345  Cigarette cough
C0264588  SPASTIC DYSPHONIAS
C0264599  Aphonia paralytica
C0264601  Flaccid dysphonia
C0264602  Spastic pseudobulbar dysphonia
C0264609  Dysphonia of essential tremor
C0266952  Loosening of tooth
C0267028  Cheilodynia
C0271411  Referred otogenic pain
C0277856  Expiratory dyspnea
C0277863  Atelectatic rales
C0277864  Asthmatoid wheeze
C0277873  Flaring of alae nasi
C0277876  PULMONARY SIGNS AND SYMPTOMS
C0277980  Onion breath
C0277981  Garlic breath
C0277984  Halitus saturninus
C0277986  Gingival edema
C0277990  Expectoration of currant jelly sputum
C0311212  Migrating cheilosis
C0392194  TREPOPNEA
C0395959  Tinnitus of vascular origin
C0399410  Teeth staining due to metals
C0399411  Teeth staining due to drugs
C0399590  Drug-induced xerostomia
C0422833  ENT symptoms
C0423479  Ear symptoms
C0423517  Blood discharge from ear
C0423600  Feeling of lump in throat
C0423625  Bilateral earache
C0423626  Unilateral earache
C0423628  Painful teething
C0423633  Parasternal chest pain
C0423636  Cardiac chest pain, NOS
C0423729  Painful respiration
C0424489  Chapped lips
C0425449  GASPING
C0425477  Crowing inspiration
C0425481  Sighing
C0425485  Whoop
C0425508  Night cough present
C0425510  TOF - Trach oesoph fist cough
C0425650  Cardiorespiratory murmur
C0426410  Nasal symptoms OS
C0426466  Nose bleed symptom NOS
C0426471  Sinus catarrh
C0426481  Tooth symptom NOS
C0426484  Throat symptom NOS
C0426498  Dry tongue
C0439029  Deafness symptom
C0439035  Wheezing symptom
C0451632  Sore nostril
C0454545  Hyperkinetic dysphonia
C0458226  Arthralgia - sternoclav joint
C0472514  Edema of uvula
C0476273  DISTRESS RESPIRATORY
C0476277  [D]Sputum abnormal - odor (context-dependent category)
C0476278  Anterior chest wall pain
C0495696  Hypernasality and hyponasality
C0520559  Numbness of tongue
C0520825  Platypnea
C0521588  Abnormal jaw movement, NOS
C0521787  Clicking sound in ear
C0521788  Crackling sound in ear
C0521789  Nervous tinnitus
C0521790  Non-vibratory tinnitus
C0521791  Vibratory tinnitus
C0521800  Central cyanosis
C0522046  Cough suppression
C0522047  Photoptarmosis
C0522251  Pain in sinuses
C0522347  Ear pressure sensation
C0522370  Hearing loss remits during vertigo attacks
C0546947  Sense of suffocation
C0547002  Death rattle
C0549250  jaw stiffness (symptom)
C0553668  RESPIRATION LABORED
C0555056  Expectoration of blood stained sputum
C0558944  [D]Choking due to airways obstruction (context-dependent category)
C0559687  Congestion of pharynx
C0562483  Persistent cough
C0574066  Increased SOB
C0574068  Rib pain
C0575010  Stiff temporomandibular joint
C0576836  Pinna tender
C0576837  General tenderness in pinna
C0576838  Focal tenderness in pinna
C0577562  Mass of respiratory structure
C0577586  Swelling of respiratory structure
C0577978  Expectoration of mucoid sputum
C0577979  Expectoration of frothy sputum
C0577982  Expectoration of rusty sputum
C0578044  Pain of ear structure
C0578045  Pain of respiratory structure
C0578046  Maxillary sinus pain
C0578047  Frontal sinus pain
C0578078  Tenderness of ear structure
C0578079  Tenderness of resp struct
C0578391  Expiratory polyphonic wheeze
C0581866  Costal margin chest pain
C0581867  Tongue symptoms
C0586750  Cough after exercise
C0677600  Inhalatory stridor
C0700184  Irritation of the throat, NOS
C0743554  recurrent epistaxis
C0745015  HOARSENESS CHRONIC
C0751466  Phonophobia
C0847233  pulling at ears (symptom)
C0847554  lump in throat
C0848220  Pain;mastoid area
C0850060  pruritus of nose
C0850149  Dry cough
C0858529  Cardialgia
C0877495  tingling of tongue (symptom)
C0877717  burning sensation in mouth (symptom)
C0878638  tongue abnormalities
C1148477  Sudden Deafness
C1168185  difficulty breathing only when lying down (symptom)
C1260880  RHINORRHEA
C1260922  Abnormal breathing
C1268587  Tympanic plexus neuralgia syndrome
C1277295  Cough with fever (finding)
C1290643  Extrinsic staining of teeth associated with inadequate oral hygiene (disorder)
C1290644  Extrinsic staining of teeth associated with oral habits (disorder)
C1290771  edema of oral vestibule
C1313952  Periodic respiration
C1319921  Unable to complete a sentence in one breath (finding)
C1321587  BREATHING ABNORMALLY DEEP
C1384488  Restrained breathing
C1386209  breath; fetid
C1395353  diaphragm; spasm
C1395965  dyspnea; hyperventilation
C1396733  cough; epidemic
C1399715  cough; larynx
C1399716  cough; nervous
C1404297  labored; respiratory
C1404372  mottling of tooth enamel (diagnosis)
C1404891  ear; neuralgia
C1405035  pain; pericardial
C1406293  disorder; smell, complete (anosmia)
C1408810  whistling in the ear
C1409399  periodic; respiratory
C1527347  Difficulty speaking
C1536053  TONGUE DESQUAMATION
C1610642  Apparent life threatening event
