C0001925  Albuminuria
C0004968  Bence Jones proteinuria
C0017979  Glycosuria
C0018965  urine blood
C0027080  Myoglobinurias
C0031538  Phimoses
C0033687  Protein, urine, abnormal presence
C0042023  Urinary frequency
C0080274  Bladder retention of urine
C0085606  Urgency, urinary
C0149707  HEMATOSPERMIA
C0149774  SCROTAL MASS
C0150043  Reflex incontinence
C0150044  Total incontinence
C0151579  CRYSTALLURIA
C0151609  SCROTAL EDEMA
C0151780  METHEMOGLOBINURIA
C0156247  Small kidney of unknown cause
C0159076  Biliuria
C0184571  Renal alteration
C0231365  Alteration in patterns of urinary elimination
C0232805  Normal renal function
C0232806  Increased renal function
C0232807  Decreased renal function
C0232814  Increased renal clearance
C0232815  Decreased renal clearance
C0232831  HYPOSTHENURIA
C0232846  Abnormal bladder continence
C0232853  Abnormal urinary stream
C0232892  ABNORMAL URINARY PRODUCTS
C0232893  Melanuria
C0235093  BLADDER PARALYSIS
C0235627  ISOSTHENURIA
C0235639  URINE ABNORMALITY
C0235643  Aggravated prostatism
C0238775  Mass of urinary bladder
C0239277  Mass of epididymis
C0239778  green urine
C0240109  Kidney palpable
C0240691  Penile Mass
C0240719  swollen perineum (physical finding)
C0241351  Cyst of testes
C0241353  TESTICULAR MASS
C0241577  Raised urine catecholamines
C0241584  Maple syrup urine odor
C0241589  Raised urine VMA
C0241716  VULVAR MASS
C0262613  RENAL MASS
C0268991  Adherent prepuce
C0269009  Atrophy of penis
C0269011  Hypertrophy of penis
C0278027  Alkaluria
C0278029  Inequality in size of kidneys
C0278031  Normal urine color
C0278033  Black urine
C0278034  Cloudy urine
C0278035  Chylous urine
C0278037  Febrile urine
C0278038  Gouty urine
C0278039  Diabetic urine
C0278040  Dyspeptic urine
C0278041  Crude urine
C0278042  Abnormal composition of urine, NOS
C0278044  Normal urine odor
C0278045  Abnormal urine odor
C0312413  Paradoxic incontinence
C0340655  Renal artery haemorrhage
C0341730  Extravas urine from ureter
C0341738  High compliance bladder
C0341789  Sebaceous cyst of scrotum
C0392096  Kidney transplant status
C0392178  LIPIDURIA
C0403616  Escape of urine from ureter
C0403617  Escape of urine from Tx ureter
C0403640  Leucoplakia of bladder
C0403645  Atony of bladder
C0403712  Asymptomatic bacteriuria in pregnancy - not delivered
C0403722  Asymptomatic proteinuria
C0403723  Candiduria
C0403769  Penis bent
C0404701  Cystocele + obstetric care
C0404702  Rectocele + obstetric care
C0404705  Cystocele - baby delivered
C0404976  Abortive preg.+oliguria
C0423595  Sensation as bladder not empty
C0423596  Persist abd sensn after mictn
C0423597  Persist perin sensn after mict
C0424873  Delayed toilet training
C0426337  Position male urethral meatus
C0426339  Foreskin deficient
C0426341  Tight frenulum of foreskin
C0426349  Tightly retracted foreskin
C0426357  Urinary tract observations
C0426361  Lack of desire for urination
C0426362  Has to make self urinate
C0426364  Diffic initiat bladder empty
C0426365  Must strain to pass urine
C0426366  Must adopt partic posture urin
C0426367  Unable to urinate lying down
C0426368  Control of micturition normal
C0426371  Passive incontinence
C0426372  Lack awareness need to urinate
C0426374  Must urin repeatly to empty bl
C0426375  Micturition frequency normal
C0426377  Infrequent urination
C0426378  Oliguria as a complication of care
C0426379  Anuria as a complication of care
C0426382  Micturition stream normal
C0426385  Urine stops and starts
C0426386  Urine flows in spurts
C0426387  Sudden stoppage of urine flow
C0426389  Terminal dribbling of urine
C0426393  Urine looks normal
C0426395  Urine looks pale
C0426398  Urethral observation
C0426399  Urethral discharge symptom
C0426403  Urethral meatus observation
C0426405  A sore at urethral meatus
C0426703  Renal Findings
C0426704  Lower pole of kidney palpable
C0426705  Kidney not palpable
C0426706  Absent kidney
C0426708  Bladder observation
C0426709  Bladder palpable
C0426710  Bladder not palpable
C0426732  Large prostate
C0427723  Urine protein test = trace
C0427730  Urine: trace non-haemol. blood
C0427738  Urine urobilinogen = trace
C0427739  Urine urobilinogen = +
C0427740  Urine urobilinogen = ++
C0427741  Urine urobilinogen = +++
C0427742  Urine urobilinogen = ++++
C0427745  Urine glucose test = trace
C0427752  Urine ketone test = trace
C0427754  Urine ketone test = ++
C0427755  Urine ketone test = +++
C0427820  Urine = normal on inspection
C0427859  Urine microscopy = NAD
C0427860  Urine microscopy = abnormality
C0428588  Presen of urin reduc substance
C0428607  Urine specific gravity normal
C0428608  Urine specific gravity low
C0428609  Urine specific gravity high
C0429756  Urological test observation
C0429776  24 Hour urinary volume
C0429777  Single voided urinary volume
C0429778  Urinary loss
C0429794  Bladder test observation
C0429797  Bladder neck descent at rest
C0429798  Bladder neck descent on stress
C0429800  Bladder neck incompetence at rest
C0429801  Bladder neck incompet stress
C0429804  Bladder sensation
C0429811  Urethral test observation
C0429817  Urethral overactivity
C0429818  Urethral underactivity
C0429822  Incompetent urethral clos mech
C0429825  Mechanical urinary obstruction
C0429826  Dysfunctional voiding of urine
C0429832  Penile arterial insufficiency
C0429835  Urinary fistula type
C0429837  Micturition observations
