C0005687  BLADDER DISTENTION
C0008983  Clitoral erection, painful
C0013428  Dysuria
C0014394  Enuresis
C0016199  FLANK PAIN
C0016708  Frequency of urination and polyuria
C0028961  Urine volume, decreased
C0028962  Oliguria and anuria
C0032617  Urine volume, increased
C0039591  TESTICULAR PAIN
C0149671  DRIBBLING
C0150045  Urge incontinence
C0151830  URETHRAL PAIN
C0152032  URINARY HESITANCY
C0152169  Renal colic
C0152447  Urethral discharge
C0156308  Edema of penis
C0156317  Edema of male genital organs
C0159075  Chyluria
C0232726  TENESMUS
C0232847  Enuresis, primary
C0232848  Enuresis, secondary
C0232849  BLADDER PAIN
C0232852  Normal urinary stream
C0232854  Slowing of urinary stream
C0232855  Splitting of urinary stream
C0232857  Psychogenic dysuria
C0232858  Dysuria, spastic
C0232861  PENILE DISCHARGE
C0232894  Pneumatouria
C0232955  Menouria
C0233973  Painful penile erection
C0235612  URETHRAL BURNING ON MICTURITION
C0235633  URETERAL PAIN
C0235634  COSTOVERTEBRAL ANGLE TENDERNESS
C0235808  PERINEAL PAIN MALE
C0238637  Anal pain
C0239278  Epididymal pain
C0239783  PAIN GROIN
C0240715  Perineal lump
C0240717  [D] Perineal pain
C0241562  Urethral meatal pain
C0241705  URINATION DIFFICULTY
C0241718  Pain of vulva
C0242453  Prostatism
C0268988  Itching of penis
C0270327  Enuresis, nocturnal
C0278028  SIGNS AND SYMPTOMS OF THE URINARY SYSTEM
C0282005  Swelling of Scrotum
C0341742  ARU - Acute retention of urine
C0343731  Penile warts
C0392071  Prostatorrhea
C0401155  Double incont - urine + stool
C0406671  Burning scrotum
C0423640  Right flank pain
C0423641  Left flank pain
C0423701  Urinary tract pain
C0423735  Tenesmus, urinary
C0423736  Burning on urination
C0423739  Tenesmus - anal
C0426359  Urinary symptoms
C0426373  INCOMPLETE URINATION
C0426390  Spasm of bladder
C0426396  Dark urine
C0439019  C/O - ureteric colic
C0439042  C/O - renal pain
C0451941  Itching of scrotum
C0455880  Micturition stream poor
C0455981  C/O - ureteric pain
C0458090  Ureteric neuromusc incoordin
C0473234  Painful haematuria
C0473235  Painless haematuria
C0473236  Traumatic haematuria
C0473238  Clot haematuria
C0473240  Chemical haematuria
C0473249  Idiopathic scrotal edema
C0476299  Deficient urine secretion
C0476300  [D]Suppressed urine secretion (context-dependent category)
C0476303  Extrarenal uraemia
C0478659  Pelvic and perineal pain
C0497481  PENILE PAIN
C0521628  Itching of male genital organs
C0521629  Leukoplakia of male genital organs
C0522123  Renal angle pain
C0555976  Vulva sore
C0558489  KIDNEY PAIN
C0559208  Anal stump pain
C0559753  Daytime enuresis
C0560252  Post-vasectomy epididymal pain
C0560253  Persistent testicular pain
C0574785  LUTS-Lower urinary tract sympt
C0577256  Prostate swelling
C0577294  Perianal lump
C0577568  Mass of urinary tract structure
C0577591  Swelling urological struct
C0577592  Swelling male genital struct
C0577593  Epididymal swelling
C0578085  Urinary tract tenderness
C0585134  Perianal pain
C0849752  unable (to) urinate
C0849986  localized penile swelling of foreskin (symptom)
C0854148  Cells in urine
C0869256  urge and stress incontinence
C1282799  Swelling of Penis
C1288081  Inflammatory testicular mass
C1385682  abdominal; pain, lower abdomen, pelvic or perineal
C1386619  discharge; urinary, excessive
C1388133  sulfonamide; anuria, correct substance properly administered
C1392633  chyluria; nonfilarial
C1397829  frequency; micturition, and painful
C1399331  hematuria; idiopathic
C1399340  hematuria; paroxysmal
C1401309  ischuria
C1403039  lipuria
C1404807  nephralgia
C1405030  pain; micturition, and frequent
C1405032  lower abdomen; pain, pelvic or perineal
C1407990  ureteralgia
C1408032  excessive; urine secretion
C1408330  renal calculus; colic
C1408695  insufficient; urine secretion
C2008825  frequent small amounts of urine (symptom)
C2010797  generalized scrotal swelling (symptom)
C2012599  swelling of inguinal lymph nodes
C2012600  swelling of lymph node in left groin (symptom)
C2012601  swelling of lymph node in right groin (symptom)
C2012602  swelling of lymph nodes in both sides of groin
C2012603  groin pain progressive with decreased level of activity
C2012604  groin pain progressive with same level of activity (symptom)
C2012605  groin pain radiating to testicle (symptom)
C2012606  radiating groin pain
C2012607  groin pain worsens then abates
C2012608  bilateral inguinal swelling
C2012609  groin swelling on left
C2012610  groin symptoms (symptom)
C2032191  pain in left groin (symptom)
C2032252  pain in right groin
C2032305  bilateral flank pain
C2032306  flank pain disproportionate to injury
C2032307  radiating flank pain
C2032308  pain in the flank which radiates to a testicle
C2032732  painful inability to urinate
C2035062  passage of food particles in the urine
C2035063  passage of stones or gravel in urine (symptom)
C2035064  passage of stool in urine
C2035065  passage of tissue during urination (symptom)
C2037198  sudden onset of testicular pain (symptom)
C2038642  swelling in right groin (symptom)
C2045681  change in urinary habits
C2045682  change in appearance of urine
C2045683  change in volume of urine (symptom)
C2052709  bloody penile discharge not related to urination (symptom)
C2052710  green penile discharge
C2052711  profuse yellow to yellow-green penile discharge (symptom)
C2052806  generalized penile swelling
C2052807  localized penile swelling of shaft (symptom)
